date,event,btc_price
7/17/2010,,0.04951
7/18/2010,,0.08584
7/19/2010,,0.0808
7/20/2010,,0.07474
7/21/2010,,0.07921
7/22/2010,,0.05446
7/23/2010,,0.062413878
7/24/2010,,0.05454
7/25/2010,,0.0505
7/26/2010,,0.056
7/27/2010,,0.06
7/28/2010,,0.0589
7/29/2010,,0.069862566
7/30/2010,,0.0627
7/31/2010,,0.06785
8/1/2010,,0.0611
8/2/2010,,0.06010568
8/3/2010,,0.06
8/4/2010,,0.057282494
8/5/2010,,0.061
8/6/2010,,0.0623
8/7/2010,,0.059
8/8/2010,,0.0609
8/9/2010,,0.0707
8/10/2010,,0.07
8/11/2010,,0.067
8/12/2010,,0.07
8/13/2010,,0.0645
8/14/2010,,0.067
8/15/2010,,0.06529
8/16/2010,,0.0655
8/17/2010,,0.07
8/18/2010,,0.068
8/19/2010,,0.0667
8/20/2010,,0.0655
8/21/2010,,0.0664
8/22/2010,,0.066
8/23/2010,,0.06491
8/24/2010,,0.065
8/25/2010,,0.0648
8/26/2010,,0.064
8/27/2010,,0.065
8/28/2010,,0.064598255
8/29/2010,,0.064
8/30/2010,,0.06497
8/31/2010,,0.06
9/1/2010,,0.0629
9/2/2010,,0.0634
9/3/2010,,0.06085
9/4/2010,,0.06238
9/5/2010,,0.06163975
9/6/2010,,0.0616
9/7/2010,,0.061002889
9/8/2010,,0.061266442
9/9/2010,,0.06111
9/10/2010,,0.0618
9/11/2010,,0.06366
9/12/2010,,0.0615
9/13/2010,,0.06218242
9/14/2010,,0.06199
9/15/2010,,0.0604
9/16/2010,,0.061874795
9/17/2010,,0.059797686
9/18/2010,,0.061
9/19/2010,,0.0627
9/20/2010,,0.0621
9/21/2010,,0.06265
9/22/2010,,0.0622
9/23/2010,,0.06231
9/24/2010,,0.0622
9/25/2010,,0.06202
9/26/2010,,0.06202171
9/27/2010,,0.06220093
9/28/2010,,0.0619
9/29/2010,,0.061900429
9/30/2010,,0.0619
10/1/2010,,0.06197
10/2/2010,,0.0614
10/3/2010,,0.06111
10/4/2010,,0.061299829
10/5/2010,,0.0614
10/6/2010,,0.06281
10/7/2010,,0.067
10/8/2010,,0.083564265
10/9/2010,,0.0938
10/10/2010,,0.0965
10/11/2010,,0.095
10/12/2010,,0.0949
10/13/2010,,0.105
10/14/2010,,0.102
