date,btc_price,funding_rate,total_oi,oi_cme,oi_binance,oi_bybit,oi_hyperliquid,oi_bitget,oi_okx,oi_deribit,oi_coinbase,oi_kraken,oi_bitfinex,oi_mexc,oi_huobi
2020-02-28,,,232278.94,0.0,18326.62,24818.41,0.0,0.0,91404.61,17376.66,0.0,0.0,0.0,0.0,80352.64
2020-02-29,,,187453.02999999997,0.0,20817.13,25381.76,0.0,0.0,41615.88,17316.28,0.0,0.0,0.0,0.0,82321.98
2020-03-01,,,186888.39,0.0,21115.82,21055.43,0.0,0.0,43501.62,17180.77,0.0,0.0,0.0,0.0,84034.75
2020-03-02,,,191116.98,0.0,21377.91,20250.0,0.0,0.0,44061.87,17517.54,0.0,0.0,0.0,0.0,87909.66
2020-03-03,,,176883.32,0.0,19845.61,18706.88,0.0,0.0,43101.04,14528.19,0.0,0.0,0.0,0.0,80701.6
2020-03-04,,,178278.16,0.0,20076.56,20131.7,0.0,0.0,43254.49,14063.05,0.0,0.0,0.0,0.0,80752.36
2020-03-05,,,215427.33999999997,0.0,20976.72,21182.79,0.0,0.0,85840.67,13812.65,0.0,0.0,0.0,0.0,73614.51
2020-03-06,,,214345.84,0.0,21705.25,22149.26,0.0,0.0,85396.02,12666.16,0.0,0.0,0.0,0.0,72429.15
2020-03-07,,,246394.76,0.0,23296.07,23077.12,0.0,0.0,91623.76,37073.52,0.0,0.0,0.0,0.0,71324.29
2020-03-08,,,252188.61,0.0,23151.3,25354.47,0.0,0.0,94661.55,36836.37,0.0,0.0,0.0,0.0,72184.92
2020-03-09,,,248550.93,0.0,19135.96,24051.2,0.0,0.0,97897.32,38422.08,0.0,0.0,0.0,0.0,69044.37
2020-03-10,,,242303.69,0.0,19845.62,21104.54,0.0,0.0,95403.28,40743.77,0.0,0.0,0.0,0.0,65206.48
2020-03-11,,,231617.63,0.0,18982.44,22947.52,0.0,0.0,91135.39,40925.52,0.0,0.0,0.0,0.0,57626.76
2020-03-12,,,236936.66999999998,0.0,19873.47,21799.68,0.0,0.0,95038.15,39722.09,0.0,0.0,0.0,0.0,60503.28
2020-03-13,,,275698.43,0.0,14969.62,12172.88,0.0,0.0,140999.86,75916.66,0.0,0.0,0.0,0.0,31639.41
2020-03-14,,,196101.76,0.0,14270.76,6715.74,0.0,0.0,91104.29,58275.03,0.0,0.0,0.0,0.0,25735.94
2020-03-15,,,209534.89,0.0,15027.12,6831.15,0.0,0.0,96684.88,60593.27,0.0,0.0,0.0,0.0,30398.47
2020-03-16,,,172713.53,0.0,15894.92,6682.64,0.0,0.0,72980.32,42805.93,0.0,0.0,0.0,0.0,34349.72
2020-03-17,,,180489.72999999998,0.0,17083.75,7175.22,0.0,0.0,76427.1,42037.36,0.0,0.0,0.0,0.0,37766.3
2020-03-18,,,173523.46000000002,0.0,17910.91,8882.34,0.0,0.0,72560.7,36770.0,0.0,0.0,0.0,0.0,37399.51
2020-03-19,,,180872.63,0.0,20066.13,9543.46,0.0,0.0,73018.12,34445.47,0.0,3379.89,2217.13,0.0,38202.43
