date,btc_price,total_balance,net_flow,inflow,outflow
2010-07-16,0.04951,0.0,0.0,0.0,0.0
2010-07-17,0.04951,0.0,0.0,0.0,0.0
2010-07-18,0.08584,0.0,0.0,0.0,0.0
2010-07-19,0.0808,0.0,0.0,0.0,0.0
2010-07-20,0.07474,0.0,0.0,0.0,0.0
2010-07-21,0.07921,0.0,0.0,0.0,0.0
2010-07-22,0.05446,0.0,0.0,0.0,0.0
2010-07-23,0.0624138775510204,0.0,0.0,0.0,0.0
2010-07-24,0.05454,0.0,0.0,0.0,0.0
2010-07-25,0.0505,0.0,0.0,0.0,0.0
2010-07-26,0.056,0.0,0.0,0.0,0.0
2010-07-27,0.06,0.0,0.0,0.0,0.0
2010-07-28,0.0589,0.0,0.0,0.0,0.0
2010-07-29,0.0698625662193553,0.0,0.0,0.0,0.0
2010-07-30,0.0627,0.0,0.0,0.0,0.0
2010-07-31,0.06785,0.0,0.0,0.0,0.0
2010-08-01,0.0611,0.0,0.0,0.0,0.0
2010-08-02,0.06010568,0.0,0.0,0.0,0.0
2010-08-03,0.06,0.0,0.0,0.0,0.0
2010-08-04,0.0572824939363675,0.0,0.0,0.0,0.0
2010-08-05,0.061,0.0,0.0,0.0,0.0
2010-08-06,0.0623,0.0,0.0,0.0,0.0
2010-08-07,0.059,0.0,0.0,0.0,0.0
2010-08-08,0.0609,0.0,0.0,0.0,0.0
2010-08-09,0.0707,0.0,0.0,0.0,0.0
2010-08-10,0.07,0.0,0.0,0.0,0.0
2010-08-11,0.067,0.0,0.0,0.0,0.0
2010-08-12,0.07,0.0,0.0,0.0,0.0
2010-08-13,0.0645,0.0,0.0,0.0,0.0
2010-08-14,0.067,0.0,0.0,0.0,0.0
2010-08-15,0.06529,0.0,0.0,0.0,0.0
2010-08-16,0.0655,0.0,0.0,0.0,0.0
2010-08-17,0.07,0.0,0.0,0.0,0.0
2010-08-18,0.068,0.0,0.0,0.0,0.0
2010-08-19,0.0667,0.0,0.0,0.0,0.0
2010-08-20,0.0655,0.0,0.0,0.0,0.0
2010-08-21,0.0664,0.0,0.0,0.0,0.0
2010-08-22,0.066,0.0,0.0,0.0,0.0
2010-08-23,0.06491,0.0,0.0,0.0,0.0
2010-08-24,0.065,0.0,0.0,0.0,0.0
2010-08-25,0.0648,0.0,0.0,0.0,0.0
2010-08-26,0.064,0.0,0.0,0.0,0.0
2010-08-27,0.065,0.0,0.0,0.0,0.0
2010-08-28,0.0645982546728972,0.0,0.0,0.0,0.0
2010-08-29,0.064,0.0,0.0,0.0,0.0
2010-08-30,0.06497,0.0,0.0,0.0,0.0
2010-08-31,0.06,0.0,0.0,0.0,0.0
2010-09-01,0.0629,0.0,0.0,0.0,0.0
2010-09-02,0.0634,0.0,0.0,0.0,0.0
2010-09-03,0.06085,0.0,0.0,0.0,0.0
2010-09-04,0.06238,0.0,0.0,0.0,0.0
2010-09-05,0.06163975,0.0,0.0,0.0,0.0
2010-09-06,0.0616,0.0,0.0,0.0,0.0
2010-09-07,0.0610028889147648,0.0,0.0,0.0,0.0
2010-09-08,0.0612664420040746,0.0,0.0,0.0,0.0
2010-09-09,0.06111,0.0,0.0,0.0,0.0
2010-09-10,0.0618,0.0,0.0,0.0,0.0
2010-09-11,0.06366,0.0,0.0,0.0,0.0
2010-09-12,0.0615,0.0,0.0,0.0,0.0
2010-09-13,0.0621824198330189,0.0,0.0,0.0,0.0
2010-09-14,0.06199,0.0,0.0,0.0,0.0
2010-09-15,0.0604,0.0,0.0,0.0,0.0
2010-09-16,0.0618747945205479,0.0,0.0,0.0,0.0
2010-09-17,0.0597976861530533,0.0,0.0,0.0,0.0
2010-09-18,0.061,0.0,0.0,0.0,0.0
2010-09-19,0.0627,0.0,0.0,0.0,0.0
2010-09-20,0.0621,0.0,0.0,0.0,0.0
2010-09-21,0.06265,0.0,0.0,0.0,0.0
2010-09-22,0.0622,0.0,0.0,0.0,0.0
2010-09-23,0.06231,0.0,0.0,0.0,0.0
2010-09-24,0.0622,0.0,0.0,0.0,0.0
2010-09-25,0.06202,0.0,0.0,0.0,0.0
2010-09-26,0.06202171,0.0,0.0,0.0,0.0
2010-09-27,0.0622009295539808,0.0,0.0,0.0,0.0
2010-09-28,0.0619,0.0,0.0,0.0,0.0
2010-09-29,0.0619004290909091,0.0,0.0,0.0,0.0
2010-09-30,0.0619,0.0,0.0,0.0,0.0
2010-10-01,0.06197,0.0,0.0,0.0,0.0
2010-10-02,0.0614,0.0,0.0,0.0,0.0
2010-10-03,0.06111,0.0,0.0,0.0,0.0
2010-10-04,0.0612998286895566,0.0,0.0,0.0,0.0
2010-10-05,0.0614,0.0,0.0,0.0,0.0
2010-10-06,0.06281,0.0,0.0,0.0,0.0
2010-10-07,0.067,0.0,0.0,0.0,0.0
2010-10-08,0.0835642648639761,0.0,0.0,0.0,0.0
2010-10-09,0.0938,0.0,0.0,0.0,0.0
2010-10-10,0.0965,0.0,0.0,0.0,0.0
2010-10-11,0.095,0.0,0.0,0.0,0.0
2010-10-12,0.0949,0.0,0.0,0.0,0.0
2010-10-13,0.105,0.0,0.0,0.0,0.0
2010-10-14,0.102,0.0,0.0,0.0,0.0
2010-10-15,0.105,0.0,0.0,0.0,0.0
2010-10-16,0.101,0.0,0.0,0.0,0.0
