date,basis_binance,basis_deribit,basis_3m
2020-06-01,,10.211,10.211
2020-06-02,,4.1168,4.1168
2020-06-03,,4.2204,4.2204
2020-06-04,,5.9719,5.9719
2020-06-05,,4.8471,4.8471
2020-06-06,,5.0339,5.0339
2020-06-07,,6.0259,6.0259
2020-06-08,,6.1047,6.1047
2020-06-09,,6.203,6.203
2020-06-10,,5.7353,5.7353
2020-06-11,,3.7318,3.7318
2020-06-12,,3.6153,3.6153
2020-06-13,,4.7325,4.7325
2020-06-14,,4.1131,4.1131
2020-06-15,,2.0504,2.0504
2020-06-16,,2.8626,2.8626
2020-06-17,,3.7954,3.7954
2020-06-18,,3.8528,3.8528
2020-06-19,,2.7882,2.7882
2020-06-20,,3.4441,3.4441
2020-06-21,,3.1333,3.1333
2020-06-22,,4.7503,4.7503
2020-06-23,,4.0717,4.0717
2020-06-24,,3.3818,3.3818
2020-06-25,,3.3313,3.3313
2020-06-26,3.3946,2.4592,2.9269
2020-06-27,2.1406,1.5787,1.8597
2020-06-28,3.1446,2.2052,2.6749
2020-06-29,2.9892,2.6074,2.7983
2020-06-30,3.3256,3.1191,3.2223
2020-07-01,3.4643,3.3902,3.4272
2020-07-02,2.3737,2.8433,2.6085
2020-07-03,3.0877,3.4228,3.2552
2020-07-04,3.4356,3.5477,3.4916
2020-07-05,3.2786,3.6634,3.471
2020-07-06,6.0315,5.2016,5.6166
2020-07-07,4.8236,3.8928,4.3582
2020-07-08,5.1058,4.3283,4.7171
2020-07-09,4.3951,4.1181,4.2566
2020-07-10,5.602,4.4373,5.0196
2020-07-11,5.0111,4.4352,4.7231
2020-07-12,5.2271,4.3308,4.779
2020-07-13,5.6963,4.5376,5.117
2020-07-14,5.4301,4.8929,5.1615
2020-07-15,6.2174,5.2314,5.7244
2020-07-16,5.6959,5.0413,5.3686
2020-07-17,5.3201,4.712,5.016
2020-07-18,5.474,4.8261,5.1501
2020-07-19,6.6573,5.6005,6.1289
2020-07-20,6.5468,5.514,6.0304
2020-07-21,7.7343,6.0242,6.8793
2020-07-22,8.5239,7.1479,7.8359
2020-07-23,8.4772,6.3375,7.4073
2020-07-24,7.7017,7.3711,7.5364
2020-07-25,9.7287,8.6193,9.174
2020-07-26,12.1465,9.7104,10.9284
2020-07-27,17.5748,14.5129,16.0439
2020-07-28,15.9093,13.7589,14.8341
2020-07-29,15.0174,13.0476,14.0325
2020-07-30,17.322,14.9217,16.1219
2020-07-31,16.9821,15.0784,16.0302
2020-08-01,18.6206,16.3705,17.4956
2020-08-02,15.2772,13.5642,14.4207
2020-08-03,12.9076,11.9982,12.4529
2020-08-04,14.5727,12.8756,13.7241
2020-08-05,15.8158,13.2564,14.5361
2020-08-06,13.6313,12.4255,13.0284
2020-08-07,12.8916,10.5104,11.701
2020-08-08,14.8438,13.0547,13.9493
2020-08-09,14.5537,12.2305,13.3921
2020-08-10,17.6554,14.219,15.9372
2020-08-11,12.7275,10.5251,11.6263
2020-08-12,13.8915,12.0511,12.9713
2020-08-13,15.7012,13.158,14.4296
2020-08-14,14.6839,12.198,13.441
2020-08-15,16.9418,14.479,15.7104
2020-08-16,17.9216,15.381,16.6513
2020-08-17,19.1853,15.385,17.2851
2020-08-18,16.4421,12.2165,14.3293
2020-08-19,13.4248,10.6099,12.0173
