date,lth_pl_price,lth_pl_flow_btc
2010-07-17,0.0495,0.0
2010-07-18,0.0497,0.0027
2010-07-19,0.0498,0.0007
2010-07-20,0.0498,0.0
2010-07-21,0.0499,0.0009
2010-07-22,0.0499,0.0001
2010-07-23,0.0499,0.0001
2010-07-24,0.05,0.0014
2010-07-25,0.05,0.0001
2010-07-26,0.0501,0.0022
2010-07-27,0.0501,0.0006
2010-07-28,0.0501,0.0001
2010-07-29,0.0501,-0.0
2010-07-30,0.0501,0.0001
2010-07-31,0.0502,0.0002
2010-08-01,0.0502,0.0002
2010-08-02,0.0502,-0.0
2010-08-03,0.0502,0.0003
2010-08-04,0.0502,0.0002
2010-08-05,0.0502,-0.0
2010-08-06,0.0502,0.0004
2010-08-07,0.0502,0.0003
2010-08-08,0.0502,0.0
2010-08-09,0.0503,0.0004
2010-08-10,0.0503,0.0003
2010-08-11,0.0503,0.0003
2010-08-12,0.0503,0.0
2010-08-13,0.0504,0.0008
2010-08-14,0.0504,0.0
2010-08-15,0.0504,0.0003
2010-08-16,0.0504,0.0006
2010-08-17,0.0504,0.0001
2010-08-18,0.0505,0.0006
2010-08-19,0.0505,-0.0
2010-08-20,0.0505,0.0001
2010-08-21,0.0505,0.0008
2010-08-22,0.0506,0.0005
2010-08-23,0.0506,-0.0
2010-08-24,0.0506,0.0001
2010-08-25,0.0506,-0.0
2010-08-26,0.0506,-0.0
2010-08-27,0.0506,0.0002
2010-08-28,0.0506,-0.0001
2010-08-29,0.0506,0.0
2010-08-30,0.0506,0.0
2010-08-31,0.0506,0.0
2010-09-01,0.0506,0.0
2010-09-02,0.0506,-0.0
2010-09-03,0.0506,0.0001
2010-09-04,0.0506,-0.0
2010-09-05,0.0506,0.0008
2010-09-06,0.0506,-0.0004
2010-09-07,0.0506,0.0002
2010-09-08,0.0506,-0.0001
2010-09-09,0.0507,0.0009
2010-09-10,0.0507,-0.0
2010-09-11,0.0507,-0.0
2010-09-12,0.0507,0.0001
2010-09-13,0.0507,-0.0
2010-09-14,0.0507,-0.0
2010-09-15,0.0506,-0.0009
2010-09-16,0.0506,0.0005
2010-09-17,0.0508,0.0018
2010-09-18,0.0508,-0.0001
2010-09-19,0.0508,0.0
2010-09-20,0.0507,-0.0002
2010-09-21,0.0507,-0.0
2010-09-22,0.0507,0.0
2010-09-23,0.0507,0.0001
2010-09-24,0.0507,-0.0001
2010-09-25,0.0508,0.0004
2010-09-26,0.0508,-0.0001
2010-09-27,0.0509,0.0016
2010-09-28,0.0512,0.0048
2010-09-29,0.0512,0.0002
2010-09-30,0.0512,-0.0002
2010-10-01,0.0513,0.0024
2010-10-02,0.0518,0.0081
2010-10-03,0.0518,-0.0001
2010-10-04,0.0518,-0.0002
2010-10-05,0.0519,0.0021
2010-10-06,0.0519,-0.0001
2010-10-07,0.0519,0.0004
2010-10-08,0.0521,0.0016
