date,btc_price,realized_cap_usd,lth_realized_cap_usd,sth_realized_cap_usd
2010-07-17,0.04951,170264.89,90095.0645,80169.822925
2010-07-18,0.08584,172000.764,90218.789,81781.21555400001
2010-07-19,0.0808,173298.882,90649.526,82657.06447699999
2010-07-20,0.07474,174099.184,91111.78255,82988.397957
2010-07-21,0.07921,175175.28,91268.92729,83912.77557900001
2010-07-22,0.05446,175165.815,92916.7805,82256.413801
2010-07-23,0.0624138775510204,175863.086,93275.728,82593.417665
2010-07-24,0.05454,176478.8505,93538.131,82936.733182
2010-07-25,0.0505,176990.32,93832.7155,83143.017742
2010-07-26,0.056,177884.2605,93572.86573,84316.678138
2010-07-27,0.06,178479.612,93916.96023,84561.492715
2010-07-28,0.0589,179093.544,94288.28523,84799.458579
2010-07-29,0.0698625662193553,179832.612,94632.37973,85196.88725500001
2010-07-30,0.0627,180435.722,95214.12223,85218.626164
2010-07-31,0.06785,181199.9505,95790.34189,85423.889366
2010-08-01,0.0611,182021.202,95978.5294,86058.087788
2010-08-02,0.06010568,182671.72,96466.2029,86209.104212
2010-08-03,0.06,183320.445,96805.3464,86525.580508
2010-08-04,0.0572824939363675,184046.49,97040.5189,86988.14828
2010-08-05,0.061,184673.361,97530.6679,87159.37642100001
2010-08-06,0.0623,185229.138,97837.6299,87385.593685
2010-08-07,0.059,185696.676,97946.5519,87737.61965
2010-08-08,0.0609,186313.1895,99248.49112,87072.23495499999
2010-08-09,0.0707,187567.023,99761.15826,87804.594629
2010-08-10,0.07,188349.744,99886.63294,88447.50080899999
2010-08-11,0.067,189131.2255,100116.85444,88998.42473
2010-08-12,0.07,189909.753,100446.09594,89474.565554
2010-08-13,0.0645,190684.4395,100693.64594,89987.894783
2010-08-14,0.067,191630.333,100896.63694,90743.50604400001
2010-08-15,0.06529,192349.857,101124.38294,91225.83522800001
2010-08-16,0.0655,192953.04,101307.56994,91634.479941
2010-08-17,0.07,193510.611,101520.46294,91992.332814
2010-08-18,0.068,194079.3,101678.89494,92387.604817
2010-08-19,0.0667,194541.1875,101894.26344,92634.54570999999
2010-08-20,0.0655,195153.642,102128.94084,93029.171236
2010-08-21,0.0664,195828.192,102510.16784,93323.117036
2010-08-22,0.066,196604.985,102800.74203,93813.72398
2010-08-23,0.06491,197309.672,103058.29305,94238.717891
2010-08-24,0.065,198020.409,103402.38755,94612.107007
2010-08-25,0.0648,198734.607,103734.27387,94985.270246
2010-08-26,0.064,199395.7425,103996.67687,95391.375264
2010-08-27,0.065,199994.346,104266.50637,95733.060219
2010-08-28,0.0645982546728972,200552.548,104662.48042,95881.103902
2010-08-29,0.064,201051.84,104919.93242,96135.416843
2010-08-30,0.06497,201556.1865,105179.85992,96372.24669700001
2010-08-31,0.06,201997.424,105536.33192,96470.078667
2010-09-01,0.0629,202484.49,105813.58792,96679.03096
2010-09-02,0.0634,203008.143,106105.69692,96893.961993
2010-09-03,0.06085,203475.23,106286.40842,97171.154092
2010-09-04,0.06238,204025.932,106551.28692,97459.405772
2010-09-05,0.06163975,204613.464,106702.27064,97898.091773
2010-09-06,0.0616,204987.259,107006.75714,97992.53854800001
2010-09-07,0.0610028889147648,205484.013,107425.11664,98052.35737499999
2010-09-08,0.0612664420040746,205994.1645,107863.28014,98112.063505
2010-09-09,0.06111,206505.045,108331.30312,98161.016607
2010-09-10,0.0618,207047.4135,108556.75878,98487.59040999999
2010-09-11,0.06366,207545.6045,108764.83941,98784.779254
2010-09-12,0.0615,208088.664,109014.87828,99086.939922
2010-09-13,0.0621824198330189,208656.138,109483.73798,99186.47040199999
2010-09-14,0.06199,209308.077,109743.66548,99553.955315
2010-09-15,0.0604,209671.4975,110011.51408,99646.308656
2010-09-16,0.0618747945205479,210406.165,110291.24558,100126.376943
