window,pivot_n,first_low,low1,z_low1,px_low1,low2,z_low2,px_low2,date,btc_price,ret_90d,ret_180d,ret_365d,mdd_180d,mup_180d
365,14,-1.5,2014-11-03,-2.09,325,2014-12-18,-2.02,312,2015-01-01,315,-0.215,-0.164,0.38,-0.433,0.005
365,14,-1.5,2022-06-18,-3.27,18973,2022-11-13,-1.94,16331,2022-11-27,16420,0.411,0.628,1.27,-0.013,0.857
365,14,-1.5,2025-11-21,-3.96,85144,2026-02-05,-3.86,62840,2026-02-19,67011,0.156,-0.034,,-0.125,0.226
365,14,-2.0,2014-11-03,-2.09,325,2014-12-18,-2.02,312,2015-01-01,315,-0.215,-0.164,0.38,-0.433,0.005
365,14,-2.0,2022-06-18,-3.27,18973,2022-11-13,-1.94,16331,2022-11-27,16420,0.411,0.628,1.27,-0.013,0.857
365,14,-2.0,2025-11-21,-3.96,85144,2026-02-05,-3.86,62840,2026-02-19,67011,0.156,-0.034,,-0.125,0.226
365,14,-2.5,2022-06-18,-3.27,18973,2022-11-13,-1.94,16331,2022-11-27,16420,0.411,0.628,1.27,-0.013,0.857
365,14,-2.5,2025-11-21,-3.96,85144,2026-02-05,-3.86,62840,2026-02-19,67011,0.156,-0.034,,-0.125,0.226
365,30,-1.5,2022-06-18,-3.27,18973,2022-11-13,-1.94,16331,2022-12-13,17777,0.362,0.46,1.413,-0.075,0.715
365,30,-1.5,2025-11-21,-3.96,85144,2026-02-05,-3.86,62840,2026-03-07,67257,-0.092,0.149,,-0.128,0.222
365,30,-2.0,2022-06-18,-3.27,18973,2022-11-13,-1.94,16331,2022-12-13,17777,0.362,0.46,1.413,-0.075,0.715
365,30,-2.0,2025-11-21,-3.96,85144,2026-02-05,-3.86,62840,2026-03-07,67257,-0.092,0.149,,-0.128,0.222
365,30,-2.5,2022-06-18,-3.27,18973,2022-11-13,-1.94,16331,2022-12-13,17777,0.362,0.46,1.413,-0.075,0.715
365,30,-2.5,2025-11-21,-3.96,85144,2026-02-05,-3.86,62840,2026-03-07,67257,-0.092,0.149,,-0.128,0.222
365,60,-1.5,2022-06-18,-3.27,18973,2022-11-13,-1.94,16331,2023-01-12,18853,0.586,0.626,1.27,0.057,0.654
365,60,-1.5,2025-11-21,-3.96,85144,2026-02-05,-3.86,62840,2026-04-06,68849,-0.076,,,-0.149,0.194
365,60,-2.0,2022-06-18,-3.27,18973,2022-11-13,-1.94,16331,2023-01-12,18853,0.586,0.626,1.27,0.057,0.654
365,60,-2.0,2025-11-21,-3.96,85144,2026-02-05,-3.86,62840,2026-04-06,68849,-0.076,,,-0.149,0.194
365,60,-2.5,2022-06-18,-3.27,18973,2022-11-13,-1.94,16331,2023-01-12,18853,0.586,0.626,1.27,0.057,0.654
365,60,-2.5,2025-11-21,-3.96,85144,2026-02-05,-3.86,62840,2026-04-06,68849,-0.076,,,-0.149,0.194
730,14,-1.5,2026-06-03,-2.74,64045,2026-06-30,-2.7,58625,2026-07-14,65044,,,,-0.034,0.249
730,14,-2.0,2026-06-03,-2.74,64045,2026-06-30,-2.7,58625,2026-07-14,65044,,,,-0.034,0.249
730,14,-2.5,2026-06-03,-2.74,64045,2026-06-30,-2.7,58625,2026-07-14,65044,,,,-0.034,0.249
