window,pivot_n,first_low,n,n_90d,median_90d,hit_90d,n_180d,median_180d,hit_180d,n_365d,median_365d,hit_365d,median_mdd180,worst_mdd180,median_mup180
365,14,-1.5,3,3,0.15631848967307382,0.6666666666666666,3,-0.03410917889624021,0.3333333333333333,2,0.8248735717044083,1.0,-0.12514945010986722,-0.4329236327564472,0.22646068325049296
365,14,-2.0,3,3,0.15631848967307382,0.6666666666666666,3,-0.03410917889624021,0.3333333333333333,2,0.8248735717044083,1.0,-0.12514945010986722,-0.4329236327564472,0.22646068325049296
365,14,-2.5,2,2,0.2835033869729321,1.0,2,0.29671708006582964,0.5,1,1.2695163540590895,1.0,-0.06893611970484159,-0.12514945010986722,0.5418719101213973
365,30,-1.5,2,2,0.1346691592575437,0.5,2,0.3046413558012929,1.0,1,1.4125525149105491,1.0,-0.10172825692588744,-0.12834180155039054,0.4687362754490788
365,30,-2.0,2,2,0.1346691592575437,0.5,2,0.3046413558012929,1.0,1,1.4125525149105491,1.0,-0.10172825692588744,-0.12834180155039054,0.4687362754490788
365,30,-2.5,2,2,0.1346691592575437,0.5,2,0.3046413558012929,1.0,1,1.4125525149105491,1.0,-0.10172825692588744,-0.12834180155039054,0.4687362754490788
365,60,-1.5,2,2,0.2554556605918917,0.5,1,0.6255854810246411,1.0,1,1.2703505095109833,1.0,-0.045709415712861634,-0.1485057798554389,0.42361149361903616
365,60,-2.0,2,2,0.2554556605918917,0.5,1,0.6255854810246411,1.0,1,1.2703505095109833,1.0,-0.045709415712861634,-0.1485057798554389,0.42361149361903616
365,60,-2.5,2,2,0.2554556605918917,0.5,1,0.6255854810246411,1.0,1,1.2703505095109833,1.0,-0.045709415712861634,-0.1485057798554389,0.42361149361903616
730,14,-1.5,1,0,,,0,,,0,,,-0.03413597999384421,-0.03413597999384421,0.24866144414902047
730,14,-2.0,1,0,,,0,,,0,,,-0.03413597999384421,-0.03413597999384421,0.24866144414902047
730,14,-2.5,1,0,,,0,,,0,,,-0.03413597999384421,-0.03413597999384421,0.24866144414902047
730,30,-1.5,0,0,,,0,,,0,,,,,
730,30,-2.0,0,0,,,0,,,0,,,,,
730,30,-2.5,0,0,,,0,,,0,,,,,
730,60,-1.5,0,0,,,0,,,0,,,,,
730,60,-2.0,0,0,,,0,,,0,,,,,
730,60,-2.5,0,0,,,0,,,0,,,,,
1460,14,-1.5,0,0,,,0,,,0,,,,,
1460,14,-2.0,0,0,,,0,,,0,,,,,
1460,14,-2.5,0,0,,,0,,,0,,,,,
1460,30,-1.5,0,0,,,0,,,0,,,,,
1460,30,-2.0,0,0,,,0,,,0,,,,,
1460,30,-2.5,0,0,,,0,,,0,,,,,
1460,60,-1.5,0,0,,,0,,,0,,,,,
1460,60,-2.0,0,0,,,0,,,0,,,,,
1460,60,-2.5,0,0,,,0,,,0,,,,,
