window,threshold,z,date,btc_price,ret_90d,ret_180d,ret_365d,mdd_180d,mup_180d
365,-1.0,-1.01,2014-10-02,372,-0.133,-0.342,-0.359,-0.52,0.162
365,-1.0,-1.02,2018-09-17,6295,-0.475,-0.355,0.622,-0.479,0.072
365,-1.0,-1.64,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
365,-1.0,-1.04,2020-07-09,9238,0.156,2.684,2.659,-0.011,2.684
365,-1.0,-1.16,2022-01-21,36529,0.108,-0.364,-0.376,-0.481,0.299
365,-1.0,-1.21,2022-05-09,30116,-0.23,-0.293,-0.081,-0.386,0.055
365,-1.0,-1.25,2025-10-29,110108,-0.19,-0.297,,-0.429,0.004
365,-1.5,-1.51,2014-10-23,358,-0.364,-0.34,-0.221,-0.501,0.206
365,-1.5,-1.5,2018-11-19,4862,-0.237,0.496,0.67,-0.325,0.684
365,-1.5,-1.64,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
365,-1.5,-1.71,2022-05-27,28594,-0.246,-0.419,-0.06,-0.448,0.111
365,-1.5,-1.79,2025-11-03,106656,-0.278,-0.262,,-0.411,-0.006
365,-2.0,-2.06,2014-11-01,326,-0.302,-0.275,0.007,-0.452,0.325
365,-2.0,-2.04,2018-11-24,3919,0.006,1.007,0.801,-0.163,1.089
365,-2.0,-2.43,2022-06-13,22445,-0.028,-0.237,0.156,-0.297,0.089
365,-2.0,-2.25,2025-11-04,101584,-0.225,-0.227,,-0.381,0.043
365,-2.5,-2.58,2015-01-13,228,-0.016,0.363,0.891,-0.219,0.363
365,-2.5,-2.5,2022-06-15,22571,-0.106,-0.238,0.134,-0.301,0.083
365,-2.5,-2.52,2025-11-12,101695,-0.323,-0.196,,-0.382,-0.02
365,1.5,1.83,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
365,1.5,2.1,2015-11-03,405,-0.081,0.122,0.85,-0.228,0.157
365,1.5,1.87,2019-05-26,8745,0.177,-0.148,0.026,-0.148,0.467
365,1.5,1.53,2020-10-21,12818,1.807,3.345,3.856,0.009,3.958
365,1.5,1.65,2023-10-23,33066,0.258,0.965,1.038,0.026,1.211
365,1.5,1.97,2024-11-11,88729,0.088,0.181,0.162,-0.14,0.197
365,2.0,2.1,2015-11-03,405,-0.081,0.122,0.85,-0.228,0.157
365,2.0,2.07,2019-06-21,10103,0.018,-0.279,-0.074,-0.322,0.27
365,2.0,2.22,2020-10-27,13647,1.366,2.606,3.29,-0.027,3.657
365,2.0,2.08,2023-10-25,34507,0.156,0.937,0.975,-0.016,1.118
365,2.0,2.1,2024-11-13,90511,0.059,0.136,0.102,-0.157,0.173
365,2.5,2.87,2015-12-08,420,-0.014,0.37,0.868,-0.144,0.37
365,2.5,2.54,2019-06-25,11528,-0.144,-0.348,-0.194,-0.405,0.113
365,2.5,2.64,2020-10-30,13568,1.462,3.052,3.561,-0.0,3.684
365,2.5,2.83,2023-12-05,44107,0.55,0.537,1.239,-0.103,0.657
365,2.5,2.61,2024-11-21,98402,-0.017,0.086,-0.135,-0.225,0.086
730,-1.0,-1.17,2015-08-18,221,0.5,0.845,1.606,-0.048,1.103
730,-1.0,-1.1,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
730,-1.0,-1.06,2022-08-19,20842,-0.2,0.167,0.253,-0.243,0.167
730,-1.0,-1.05,2026-01-29,84601,-0.104,-0.245,,-0.307,-0.005
730,-1.5,-1.82,2022-11-09,15913,0.461,0.743,1.308,-0.009,0.916
730,-1.5,-1.51,2026-02-01,76960,0.022,-0.183,,-0.238,0.068
730,-2.0,-2.03,2022-11-13,16331,0.339,0.642,1.234,-0.034,0.867
730,-2.0,-2.44,2026-02-05,62840,0.296,0.02,,-0.067,0.308
730,-2.5,-2.59,2026-06-02,66654,0.168,,,-0.12,0.219
730,1.5,2.08,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
730,1.5,1.6,2016-06-11,614,0.018,0.273,3.85,-0.123,0.303
730,1.5,1.67,2020-11-17,17669,1.713,1.635,2.419,-0.03,2.597
730,1.5,1.54,2024-01-08,47081,0.473,0.238,1.06,-0.16,0.553
730,2.0,2.08,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
730,2.0,2.05,2016-06-13,708,-0.139,0.105,2.882,-0.24,0.13
730,2.0,2.19,2020-12-17,22820,1.584,0.761,1.024,-0.003,1.785
730,2.0,2.14,2024-02-27,57083,0.216,0.126,0.475,-0.054,0.281
730,2.5,2.54,2017-05-20,2106,0.967,2.728,3.033,-0.084,2.728
730,2.5,2.61,2020-12-26,26472,1.082,0.31,0.919,-0.009,1.401
730,2.5,2.6,2024-02-28,62498,0.094,0.006,0.356,-0.136,0.17
1460,-1.0,-1.0,2026-06-30,58625,,,,0.024,0.385
1460,1.5,1.91,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
1460,1.5,1.56,2024-03-11,72100,-0.034,-0.248,0.151,-0.251,0.014
1460,2.0,2.01,2017-05-08,1703,0.887,3.338,4.409,0.008,3.338
1460,2.0,2.06,2024-11-21,98402,-0.017,0.086,-0.135,-0.225,0.086
1460,2.5,2.58,2017-05-24,2491,0.644,2.293,2.055,-0.225,2.293
