window,threshold,side,n,n_90d,median_90d,hit_90d,n_180d,median_180d,hit_180d,n_365d,median_365d,hit_365d,median_mdd180,worst_mdd180,median_mup180
365,-1.0,beli,7,7,-0.13306811639621574,0.42857142857142855,7,-0.2972011973305815,0.2857142857142857,6,0.2703967753151003,0.5,-0.4292898810257668,-0.5196324741985912,0.16187041349057996
365,-1.5,beli,5,5,-0.2457477594270978,0.2,5,-0.26235262240628565,0.4,4,0.3046497273468348,0.5,-0.41081668401859806,-0.5014900268768563,0.2057517577514527
365,-2.0,beli,4,4,-0.12639999930875478,0.25,4,-0.231751610660399,0.25,3,0.15636422854172927,1.0,-0.3392985612551942,-0.4520682110290023,0.2073010016339295
365,-2.5,beli,3,3,-0.10614038573583218,0.0,3,-0.19644904986620704,0.3333333333333333,2,0.5125628225312899,1.0,-0.30111900377072065,-0.3820732747922476,0.08323633808143982
365,1.5,jual,6,6,0.13227277424499573,0.6666666666666666,6,0.15153956014269532,0.6666666666666666,6,0.5058543610790592,0.8333333333333334,-0.14437079658957508,-0.5413257924336986,0.3319376125087028
365,2.0,jual,5,5,0.058735470614764695,0.8,5,0.13578514680253817,0.8,5,0.8498822185480484,0.8,-0.15734244971961375,-0.3215523603043502,0.2700036267067685
365,2.5,jual,5,5,-0.014196175195945182,0.4,5,0.3701179866456781,0.8,5,0.868286482622207,0.6,-0.14361437754548412,-0.4054377924190987,0.3701179866456781
730,-1.0,beli,4,4,0.19784813168232274,0.5,4,0.5059513454953098,0.75,3,1.6056518760080873,1.0,-0.14574326287755818,-0.3070470285375374,0.6349746364776799
730,-1.5,beli,2,2,0.24170643312746487,1.0,2,0.2800930341070941,0.5,1,1.3082165868396798,1.0,-0.12346931137132089,-0.23824173666733517,0.49217535934663725
730,-2.0,beli,2,2,0.3173835815202023,1.0,2,0.3311990126042136,1.0,1,1.2343131341859457,1.0,-0.05057932522460107,-0.06707623813501573,0.5876163052137255
730,-2.5,beli,1,1,0.16825161701706692,1.0,0,,,0,,,-0.12045598839451921,-0.12045598839451921,0.21850882291124152
730,1.5,jual,4,4,0.2457997135073492,0.75,4,0.2552247077812775,0.75,4,1.7391615880685556,0.75,-0.14151972527399936,-0.5413257924336986,0.42770990662586617
730,2.0,jual,4,4,0.03868635698276218,0.5,4,0.11537202920517753,0.75,4,0.749602492186881,0.75,-0.14665786318203405,-0.5413257924336986,0.223220042101961
730,2.5,jual,3,3,0.9669593615206495,1.0,3,0.30989378104135645,1.0,3,0.9188854139827429,1.0,-0.08362994327313844,-0.13554823524211856,1.4006722068547153
1460,-1.0,beli,1,0,,,0,,,0,,,0.023868604211432443,0.023868604211432443,0.3853869810187549
1460,-1.5,beli,0,0,,,0,,,0,,,,,
1460,-2.0,beli,0,0,,,0,,,0,,,,,
1460,-2.5,beli,0,0,,,0,,,0,,,,,
1460,1.5,jual,2,2,-0.24149335743278694,0.0,2,-0.21997217243708517,0.0,2,-0.22549400612905002,0.5,-0.39619758667182386,-0.5413257924336986,0.0898623157852011
1460,2.0,jual,2,2,0.43467422575982906,0.5,2,1.7121701553997712,1.0,2,2.1370844464016576,0.5,-0.10852096756798568,-0.2249143116903709,1.7121701553997712
1460,2.5,jual,1,1,0.6437630919407229,1.0,1,2.2933998029714266,1.0,1,2.054975121682239,1.0,-0.22548503284024246,-0.22548503284024246,2.2933998029714266
