window,pivot_n,first_low,low1,z_low1,px_low1,low2,z_low2,px_low2,date,btc_price,ret_90d,ret_180d,ret_365d,mdd_180d,mup_180d
365,14,-1.5,2014-11-03,-2.0,325,2014-12-18,-2.0,312,2015-01-01,315,-0.215,-0.164,0.38,-0.433,0.005
365,14,-1.5,2018-12-06,-2.43,3497,2019-01-31,-2.08,3478,2019-02-14,3634,1.252,2.0,1.847,-0.014,2.531
365,14,-1.5,2022-06-18,-3.26,18973,2022-11-21,-1.94,15774,2022-12-05,16969,0.322,0.596,1.599,-0.031,0.797
365,14,-1.5,2026-02-05,-4.05,62840,2026-06-05,-2.13,61037,2026-06-19,62878,0.212,,,-0.068,0.292
365,14,-2.0,2014-11-03,-2.0,325,2014-12-18,-2.0,312,2015-01-01,315,-0.215,-0.164,0.38,-0.433,0.005
365,14,-2.0,2018-12-06,-2.43,3497,2019-01-31,-2.08,3478,2019-02-14,3634,1.252,2.0,1.847,-0.014,2.531
365,14,-2.0,2022-06-18,-3.26,18973,2022-11-21,-1.94,15774,2022-12-05,16969,0.322,0.596,1.599,-0.031,0.797
365,14,-2.0,2026-02-05,-4.05,62840,2026-06-05,-2.13,61037,2026-06-19,62878,0.212,,,-0.068,0.292
365,14,-2.5,2022-06-18,-3.26,18973,2022-11-21,-1.94,15774,2022-12-05,16969,0.322,0.596,1.599,-0.031,0.797
365,14,-2.5,2026-02-05,-4.05,62840,2026-06-05,-2.13,61037,2026-06-19,62878,0.212,,,-0.068,0.292
365,30,-1.5,2018-12-06,-2.43,3497,2019-01-31,-2.08,3478,2019-03-02,3896,1.199,1.489,1.222,-0.025,2.294
365,30,-1.5,2022-06-18,-3.26,18973,2022-11-21,-1.94,15774,2022-12-21,16826,0.676,0.596,1.608,-0.017,0.812
365,30,-1.5,2026-02-05,-4.05,62840,2026-06-05,-2.13,61037,2026-07-05,63650,,,,-0.021,0.276
365,30,-2.0,2018-12-06,-2.43,3497,2019-01-31,-2.08,3478,2019-03-02,3896,1.199,1.489,1.222,-0.025,2.294
365,30,-2.0,2022-06-18,-3.26,18973,2022-11-21,-1.94,15774,2022-12-21,16826,0.676,0.596,1.608,-0.017,0.812
365,30,-2.0,2026-02-05,-4.05,62840,2026-06-05,-2.13,61037,2026-07-05,63650,,,,-0.021,0.276
365,30,-2.5,2022-06-18,-3.26,18973,2022-11-21,-1.94,15774,2022-12-21,16826,0.676,0.596,1.608,-0.017,0.812
365,30,-2.5,2026-02-05,-4.05,62840,2026-06-05,-2.13,61037,2026-07-05,63650,,,,-0.021,0.276
365,60,-1.5,2022-06-18,-3.26,18973,2022-11-21,-1.94,15774,2023-01-20,22682,0.246,0.32,0.838,-0.109,0.388
365,60,-1.5,2026-02-05,-4.05,62840,2026-06-05,-2.13,61037,2026-08-04,64107,,,,-0.019,0.267
365,60,-2.0,2022-06-18,-3.26,18973,2022-11-21,-1.94,15774,2023-01-20,22682,0.246,0.32,0.838,-0.109,0.388
365,60,-2.0,2026-02-05,-4.05,62840,2026-06-05,-2.13,61037,2026-08-04,64107,,,,-0.019,0.267
365,60,-2.5,2022-06-18,-3.26,18973,2022-11-21,-1.94,15774,2023-01-20,22682,0.246,0.32,0.838,-0.109,0.388
365,60,-2.5,2026-02-05,-4.05,62840,2026-06-05,-2.13,61037,2026-08-04,64107,,,,-0.019,0.267
