window,pivot_n,first_low,n,n_90d,median_90d,hit_90d,n_180d,median_180d,hit_180d,n_365d,median_365d,hit_365d,median_mdd180,worst_mdd180,median_mup180
365,14,-1.5,4,4,0.26668040491971445,0.75,3,0.5962338094556343,0.6666666666666666,3,1.5992775815132156,1.0,-0.049359771395712904,-0.4329236327564472,0.5444226131799474
365,14,-2.0,4,4,0.26668040491971445,0.75,3,0.5962338094556343,0.6666666666666666,3,1.5992775815132156,1.0,-0.049359771395712904,-0.4329236327564472,0.5444226131799474
365,14,-2.5,2,2,0.26668040491971445,1.0,1,0.5962338094556343,1.0,1,1.5992775815132156,1.0,-0.049359771395712904,-0.06764353191895423,0.5444226131799474
365,30,-1.5,3,2,0.9376015986495966,1.0,2,1.0426315190816746,1.0,2,1.414945735559145,1.0,-0.02136684996072269,-0.02543174799530956,0.8124755146126137
365,30,-2.0,3,2,0.9376015986495966,1.0,2,1.0426315190816746,1.0,2,1.414945735559145,1.0,-0.02136684996072269,-0.02543174799530956,0.8124755146126137
365,30,-2.5,2,1,0.6760486254500664,1.0,1,0.5959244965395827,1.0,1,1.6081927748884994,1.0,-0.019249351275532067,-0.02136684996072269,0.5442417635906746
365,60,-1.5,2,1,0.24576053532879683,1.0,1,0.31978755427584327,1.0,1,0.8378838281726213,1.0,-0.06382416579369099,-0.10882716882338406,0.3274273762112455
365,60,-2.0,2,1,0.24576053532879683,1.0,1,0.31978755427584327,1.0,1,0.8378838281726213,1.0,-0.06382416579369099,-0.10882716882338406,0.3274273762112455
365,60,-2.5,2,1,0.24576053532879683,1.0,1,0.31978755427584327,1.0,1,0.8378838281726213,1.0,-0.06382416579369099,-0.10882716882338406,0.3274273762112455
730,14,-1.5,0,0,,,0,,,0,,,,,
730,14,-2.0,0,0,,,0,,,0,,,,,
730,14,-2.5,0,0,,,0,,,0,,,,,
730,30,-1.5,0,0,,,0,,,0,,,,,
730,30,-2.0,0,0,,,0,,,0,,,,,
730,30,-2.5,0,0,,,0,,,0,,,,,
730,60,-1.5,0,0,,,0,,,0,,,,,
730,60,-2.0,0,0,,,0,,,0,,,,,
730,60,-2.5,0,0,,,0,,,0,,,,,
1460,14,-1.5,0,0,,,0,,,0,,,,,
1460,14,-2.0,0,0,,,0,,,0,,,,,
1460,14,-2.5,0,0,,,0,,,0,,,,,
1460,30,-1.5,0,0,,,0,,,0,,,,,
1460,30,-2.0,0,0,,,0,,,0,,,,,
1460,30,-2.5,0,0,,,0,,,0,,,,,
1460,60,-1.5,0,0,,,0,,,0,,,,,
1460,60,-2.0,0,0,,,0,,,0,,,,,
1460,60,-2.5,0,0,,,0,,,0,,,,,
