window,threshold,z,date,btc_price,ret_90d,ret_180d,ret_365d,mdd_180d,mup_180d
365,-1.0,-1.01,2014-10-03,360,-0.125,-0.313,-0.334,-0.504,0.2
365,-1.0,-1.01,2018-10-03,6523,-0.399,-0.367,0.291,-0.497,0.021
365,-1.0,-1.28,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
365,-1.0,-1.01,2022-01-07,41553,0.046,-0.506,-0.592,-0.543,0.142
365,-1.0,-1.39,2025-11-04,101584,-0.225,-0.227,,-0.381,0.043
365,-1.5,-1.56,2014-10-25,346,-0.325,-0.317,-0.176,-0.483,0.249
365,-1.5,-1.7,2018-11-19,4862,-0.237,0.496,0.67,-0.325,0.684
365,-1.5,-1.52,2022-01-22,35096,0.132,-0.34,-0.353,-0.459,0.352
365,-1.5,-1.53,2025-11-11,103088,-0.32,-0.203,,-0.39,-0.014
365,-2.0,-2.0,2014-11-03,325,-0.301,-0.277,0.245,-0.451,0.328
365,-2.0,-2.25,2018-11-24,3919,0.006,1.007,0.801,-0.163,1.089
365,-2.0,-2.05,2022-05-27,28594,-0.246,-0.419,-0.06,-0.448,0.111
365,-2.0,-2.51,2025-11-14,94668,-0.3,-0.163,,-0.336,0.024
365,-2.5,-2.62,2015-01-13,228,-0.016,0.363,0.891,-0.219,0.363
365,-2.5,-2.67,2022-06-13,22445,-0.028,-0.237,0.156,-0.297,0.089
365,-2.5,-2.51,2025-11-14,94668,-0.3,-0.163,,-0.336,0.024
365,1.5,1.85,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
365,1.5,1.87,2015-11-02,364,0.01,0.236,1.027,-0.141,0.287
365,1.5,1.51,2019-05-15,8186,0.332,0.075,0.192,-0.111,0.567
365,1.5,1.61,2020-08-01,11815,0.148,1.827,2.379,-0.143,2.448
365,1.5,1.59,2023-06-23,30695,-0.134,0.423,1.094,-0.18,0.44
365,1.5,1.75,2023-10-23,33066,0.258,0.965,1.038,0.026,1.211
365,1.5,2.01,2024-11-11,88729,0.088,0.181,0.162,-0.14,0.197
365,2.0,2.5,2015-11-03,405,-0.081,0.122,0.85,-0.228,0.157
365,2.0,2.07,2019-06-21,10103,0.018,-0.279,-0.074,-0.322,0.27
365,2.0,2.01,2020-10-21,12818,1.807,3.345,3.856,0.009,3.958
365,2.0,2.01,2023-10-25,34507,0.156,0.937,0.975,-0.016,1.118
365,2.0,2.01,2024-11-11,88729,0.088,0.181,0.162,-0.14,0.197
365,2.5,2.5,2015-11-03,405,-0.081,0.122,0.85,-0.228,0.157
365,2.5,2.51,2019-06-25,11528,-0.144,-0.348,-0.194,-0.405,0.113
365,2.5,2.52,2020-10-28,13282,1.45,3.076,3.567,0.013,3.785
365,2.5,2.55,2023-12-05,44107,0.55,0.537,1.239,-0.103,0.657
365,2.5,2.61,2024-11-21,98402,-0.017,0.086,-0.135,-0.225,0.086
730,-1.0,-1.07,2015-08-18,221,0.5,0.845,1.606,-0.048,1.103
730,-1.0,-1.18,2022-08-19,20842,-0.2,0.167,0.253,-0.243,0.167
730,-1.0,-1.17,2026-01-31,78666,-0.006,-0.177,,-0.255,0.045
730,-1.5,-1.67,2022-11-08,18550,0.227,0.536,0.923,-0.15,0.644
730,-1.5,-1.54,2026-02-04,73068,0.107,-0.131,,-0.198,0.125
730,-2.0,-2.06,2022-11-09,15913,0.461,0.743,1.308,-0.009,0.916
730,-2.0,-2.28,2026-02-05,62840,0.296,0.02,,-0.067,0.308
730,1.5,2.12,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
730,1.5,1.5,2016-06-06,587,0.035,0.354,3.965,-0.083,0.356
730,1.5,1.56,2019-06-26,12830,-0.316,-0.43,-0.278,-0.466,-0.027
730,1.5,1.52,2020-10-30,13568,1.462,3.052,3.561,-0.0,3.684
730,1.5,1.55,2023-12-05,44107,0.55,0.537,1.239,-0.103,0.657
730,2.0,2.12,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
730,2.0,2.13,2016-06-13,708,-0.139,0.105,2.882,-0.24,0.13
730,2.0,2.11,2020-11-20,18676,1.765,0.97,2.201,-0.082,2.403
730,2.0,2.03,2024-02-26,54518,0.257,0.177,0.627,-0.009,0.341
730,2.5,2.51,2017-05-18,1955,1.243,2.407,3.221,-0.013,2.823
730,2.5,2.53,2020-12-19,23862,1.437,0.596,0.958,-0.047,1.663
730,2.5,2.58,2024-02-28,62498,0.094,0.006,0.356,-0.136,0.17
1460,1.5,1.91,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
1460,1.5,1.52,2024-03-04,68347,-0.008,-0.136,0.278,-0.21,0.069
1460,2.0,2.03,2017-05-04,1579,0.717,3.083,5.106,-0.025,3.083
1460,2.0,2.02,2024-12-15,104389,-0.192,0.017,-0.172,-0.269,0.07
1460,2.5,2.55,2017-05-23,2260,0.77,2.54,2.341,-0.146,2.54
