window,threshold,side,n,n_90d,median_90d,hit_90d,n_180d,median_180d,hit_180d,n_365d,median_365d,hit_365d,median_mdd180,worst_mdd180,median_mup180
365,-1.0,beli,5,5,-0.12483782688668144,0.4,5,-0.31278083984779237,0.2,4,-0.021471618650167335,0.5,-0.496970120586288,-0.5433971730695069,0.14178376320394315
365,-1.5,beli,4,4,-0.27852573328917574,0.25,4,-0.25980653659096126,0.25,3,-0.17639023255694875,0.3333333333333333,-0.4249067344899173,-0.4834587043739216,0.30060900940178026
365,-2.0,beli,4,4,-0.2729756319194317,0.25,4,-0.2198159569972355,0.25,3,0.2448200155831075,0.6666666666666666,-0.3922644998782188,-0.45083194513152125,0.2195773710532286
365,-2.5,beli,3,3,-0.02785767464185185,0.0,3,-0.16255084431486244,0.3333333333333333,2,0.5238150739723658,1.0,-0.2971983833805558,-0.3362068968499867,0.08931313584438305
365,1.5,jual,7,7,0.0876134554562884,0.7142857142857143,7,0.23576552708585563,0.8571428571428571,7,1.0270589131623376,0.8571428571428571,-0.1412586235825678,-0.5413257924336986,0.43969242165558087
365,2.0,jual,5,5,0.0876134554562884,0.8,5,0.18094061666352235,0.8,5,0.8498822185480484,0.8,-0.14041434824538424,-0.3215523603043502,0.2700036267067685
365,2.5,jual,5,5,-0.01745002791876371,0.4,5,0.12213850362186829,0.8,5,0.8498822185480484,0.6,-0.2249143116903709,-0.4054377924190987,0.1570598990207006
730,-1.0,beli,3,3,-0.00570092550714163,0.3333333333333333,3,0.16703893309704232,0.6666666666666666,2,0.9292173018620365,1.0,-0.24314249690125378,-0.25476662084569923,0.16703893309704232
730,-1.5,beli,2,2,0.16712072563718527,1.0,2,0.20282355830341003,0.5,1,0.9226778910894038,1.0,-0.1736434805841952,-0.19767214408281453,0.3843981151047824
730,-2.0,beli,2,2,0.378594424621875,1.0,2,0.38159605955447196,1.0,1,1.3082165868396798,1.0,-0.03788656210516117,-0.06707623813501573,0.6121545685414096
730,-2.5,beli,0,0,,,0,,,0,,,,,
730,1.5,jual,5,5,0.035392784671667954,0.6,5,0.3539789049409434,0.6,5,1.238525381271598,0.6,-0.10300396139531032,-0.5413257924336986,0.35575716324198603
730,2.0,jual,4,4,0.05906576603049557,0.5,4,0.14095591869930213,0.75,4,1.4136489639364873,0.75,-0.16099877197028056,-0.5413257924336986,0.25333428122351676
730,2.5,jual,3,3,1.243182360153861,1.0,3,0.5956682830548419,1.0,3,0.9578079769400105,1.0,-0.046854657141887635,-0.13554823524211856,1.6633218621333805
1460,-1.0,beli,0,0,,,0,,,0,,,,,
1460,-1.5,beli,0,0,,,0,,,0,,,,,
1460,-2.0,beli,0,0,,,0,,,0,,,,,
1460,-2.5,beli,0,0,,,0,,,0,,,,,
1460,1.5,jual,2,2,-0.22884443078309108,0.0,2,-0.16405652884180083,0.0,2,-0.16202340972637463,0.5,-0.3754266528231739,-0.5413257924336986,0.11770034679904828
1460,2.0,jual,2,2,0.26269793522119456,0.5,2,1.549803805019115,1.0,2,2.466902723433951,0.5,-0.1472152564278293,-0.2693695112476834,1.5764887251830193
1460,2.5,jual,1,1,0.7696644026383133,1.0,1,2.539842214968526,1.0,1,2.340949174629785,1.0,-0.1460849134237382,-0.1460849134237382,2.539842214968526
