window,pivot_n,first_low,low1,z_low1,px_low1,low2,z_low2,px_low2,date,btc_price,ret_90d,ret_180d,ret_365d,mdd_180d,mup_180d
365,14,-1.5,2022-05-11,-2.15,28955,2022-05-27,-2.0,28594,2022-06-10,29067,-0.336,-0.421,-0.11,-0.457,-0.023
365,14,-1.5,2026-02-05,-3.75,62840,2026-06-06,-1.37,60861,2026-06-20,63545,0.224,,,-0.077,0.278
365,14,-2.0,2022-05-11,-2.15,28955,2022-05-27,-2.0,28594,2022-06-10,29067,-0.336,-0.421,-0.11,-0.457,-0.023
365,14,-2.0,2026-02-05,-3.75,62840,2026-06-06,-1.37,60861,2026-06-20,63545,0.224,,,-0.077,0.278
365,14,-2.5,2022-06-18,-3.39,18973,2022-11-09,-1.79,15913,2022-11-23,16614,0.471,0.617,1.246,-0.024,0.836
365,14,-2.5,2026-02-05,-3.75,62840,2026-06-06,-1.37,60861,2026-06-20,63545,0.224,,,-0.077,0.278
365,30,-1.5,2022-06-18,-3.39,18973,2022-11-09,-1.79,15913,2022-12-09,17130,0.189,0.554,1.553,-0.04,0.78
365,30,-1.5,2026-02-05,-3.75,62840,2026-06-06,-1.37,60861,2026-07-06,64042,,,,-0.027,0.268
365,30,-2.0,2022-06-18,-3.39,18973,2022-11-09,-1.79,15913,2022-12-09,17130,0.189,0.554,1.553,-0.04,0.78
365,30,-2.0,2026-02-05,-3.75,62840,2026-06-06,-1.37,60861,2026-07-06,64042,,,,-0.027,0.268
365,30,-2.5,2022-06-18,-3.39,18973,2022-11-09,-1.79,15913,2022-12-09,17130,0.189,0.554,1.553,-0.04,0.78
365,30,-2.5,2026-02-05,-3.75,62840,2026-06-06,-1.37,60861,2026-07-06,64042,,,,-0.027,0.268
365,60,-1.5,2022-06-18,-3.39,18973,2022-11-09,-1.79,15913,2023-01-08,17120,0.633,0.775,1.75,0.004,0.821
365,60,-2.0,2022-06-18,-3.39,18973,2022-11-09,-1.79,15913,2023-01-08,17120,0.633,0.775,1.75,0.004,0.821
365,60,-2.5,2022-06-18,-3.39,18973,2022-11-09,-1.79,15913,2023-01-08,17120,0.633,0.775,1.75,0.004,0.821
730,14,-1.5,2026-02-05,-4.19,62840,2026-06-06,-2.0,60861,2026-06-20,63545,0.224,,,-0.077,0.278
730,14,-2.0,2026-02-05,-4.19,62840,2026-06-06,-2.0,60861,2026-06-20,63545,0.224,,,-0.077,0.278
730,14,-2.5,2026-02-05,-4.19,62840,2026-06-06,-2.0,60861,2026-06-20,63545,0.224,,,-0.077,0.278
730,30,-1.5,2026-02-05,-4.19,62840,2026-06-06,-2.0,60861,2026-07-06,64042,,,,-0.027,0.268
730,30,-2.0,2026-02-05,-4.19,62840,2026-06-06,-2.0,60861,2026-07-06,64042,,,,-0.027,0.268
730,30,-2.5,2026-02-05,-4.19,62840,2026-06-06,-2.0,60861,2026-07-06,64042,,,,-0.027,0.268
