window,pivot_n,first_low,n,n_90d,median_90d,hit_90d,n_180d,median_180d,hit_180d,n_365d,median_365d,hit_365d,median_mdd180,worst_mdd180,median_mup180
365,14,-1.5,2,2,-0.05600294719046495,0.5,1,-0.42067793832107514,0.0,1,-0.10958975580579766,0.0,-0.2673645845205945,-0.45730351434457384,0.12755934661109652
365,14,-2.0,2,2,-0.05600294719046495,0.5,1,-0.42067793832107514,0.0,1,-0.10958975580579766,0.0,-0.2673645845205945,-0.45730351434457384,0.12755934661109652
365,14,-2.5,2,2,0.3474645520838866,1.0,1,0.6173160286826043,1.0,1,1.2458584598833355,1.0,-0.05084531174035145,-0.07742565469661511,0.5568461371520466
365,30,-1.5,2,1,0.18949724216119157,1.0,1,0.5536309310546887,1.0,1,1.5529428198527055,1.0,-0.03376356658545915,-0.0401697824814804,0.5242503403631323
365,30,-2.0,2,1,0.18949724216119157,1.0,1,0.5536309310546887,1.0,1,1.5529428198527055,1.0,-0.03376356658545915,-0.0401697824814804,0.5242503403631323
365,30,-2.5,2,1,0.18949724216119157,1.0,1,0.5536309310546887,1.0,1,1.5529428198527055,1.0,-0.03376356658545915,-0.0401697824814804,0.5242503403631323
365,60,-1.5,1,1,0.63343726754778,1.0,1,0.7746613468456831,1.0,1,1.7500467497119265,1.0,0.003807713697900228,0.003807713697900228,0.8208609047397646
365,60,-2.0,1,1,0.63343726754778,1.0,1,0.7746613468456831,1.0,1,1.7500467497119265,1.0,0.003807713697900228,0.003807713697900228,0.8208609047397646
365,60,-2.5,1,1,0.63343726754778,1.0,1,0.7746613468456831,1.0,1,1.7500467497119265,1.0,0.003807713697900228,0.003807713697900228,0.8208609047397646
730,14,-1.5,1,1,0.2236258885477469,1.0,0,,,0,,,-0.07742565469661511,-0.07742565469661511,0.2781224870052106
730,14,-2.0,1,1,0.2236258885477469,1.0,0,,,0,,,-0.07742565469661511,-0.07742565469661511,0.2781224870052106
730,14,-2.5,1,1,0.2236258885477469,1.0,0,,,0,,,-0.07742565469661511,-0.07742565469661511,0.2781224870052106
730,30,-1.5,1,0,,,0,,,0,,,-0.027357350689437898,-0.027357350689437898,0.268197193030451
730,30,-2.0,1,0,,,0,,,0,,,-0.027357350689437898,-0.027357350689437898,0.268197193030451
730,30,-2.5,1,0,,,0,,,0,,,-0.027357350689437898,-0.027357350689437898,0.268197193030451
730,60,-1.5,0,0,,,0,,,0,,,,,
730,60,-2.0,0,0,,,0,,,0,,,,,
730,60,-2.5,0,0,,,0,,,0,,,,,
1460,14,-1.5,0,0,,,0,,,0,,,,,
1460,14,-2.0,0,0,,,0,,,0,,,,,
1460,14,-2.5,0,0,,,0,,,0,,,,,
1460,30,-1.5,0,0,,,0,,,0,,,,,
1460,30,-2.0,0,0,,,0,,,0,,,,,
1460,30,-2.5,0,0,,,0,,,0,,,,,
1460,60,-1.5,0,0,,,0,,,0,,,,,
1460,60,-2.0,0,0,,,0,,,0,,,,,
1460,60,-2.5,0,0,,,0,,,0,,,,,
