window,threshold,z,date,btc_price,ret_90d,ret_180d,ret_365d,mdd_180d,mup_180d
365,-1.0,-1.02,2014-10-22,379,-0.442,-0.408,-0.274,-0.53,0.138
365,-1.0,-1.25,2015-08-24,211,0.543,1.082,1.773,0.058,1.21
365,-1.0,-1.17,2018-11-14,5809,-0.372,0.345,0.508,-0.435,0.345
365,-1.0,-2.67,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
365,-1.0,-1.26,2022-01-21,36529,0.108,-0.364,-0.376,-0.481,0.299
365,-1.0,-1.11,2025-10-11,110810,-0.183,-0.352,,-0.433,0.041
365,-1.5,-1.52,2014-10-29,333,-0.204,-0.318,-0.056,-0.465,0.295
365,-1.5,-1.84,2018-11-19,4862,-0.237,0.496,0.67,-0.325,0.684
365,-1.5,-2.67,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
365,-1.5,-2.0,2022-05-09,30116,-0.23,-0.293,-0.081,-0.386,0.055
365,-1.5,-1.55,2025-10-15,110815,-0.14,-0.328,,-0.433,0.034
365,-2.0,-2.07,2015-01-03,280,-0.091,-0.089,0.535,-0.362,0.065
365,-2.0,-2.1,2018-11-20,4487,-0.125,0.797,0.854,-0.269,0.824
365,-2.0,-2.67,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
365,-2.0,-2.15,2022-05-11,28955,-0.2,-0.289,-0.068,-0.361,0.097
365,-2.0,-2.0,2025-11-06,101346,-0.279,-0.202,,-0.38,0.046
365,-2.5,-2.92,2015-01-13,228,-0.016,0.363,0.891,-0.219,0.363
365,-2.5,-2.51,2018-11-24,3919,0.006,1.007,0.801,-0.163,1.089
365,-2.5,-2.67,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
365,-2.5,-2.88,2022-06-13,22445,-0.028,-0.237,0.156,-0.297,0.089
365,-2.5,-2.67,2025-11-14,94668,-0.3,-0.163,,-0.336,0.024
365,1.5,1.83,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
365,1.5,2.12,2015-11-02,364,0.01,0.236,1.027,-0.141,0.287
365,1.5,1.58,2019-05-26,8745,0.177,-0.148,0.026,-0.148,0.467
365,1.5,1.74,2020-10-21,12818,1.807,3.345,3.856,0.009,3.958
365,1.5,1.81,2023-06-21,30004,-0.093,0.422,1.162,-0.161,0.473
365,1.5,2.14,2024-11-11,88729,0.088,0.181,0.162,-0.14,0.197
365,2.0,2.12,2015-11-02,364,0.01,0.236,1.027,-0.141,0.287
365,2.0,2.02,2019-06-25,11528,-0.144,-0.348,-0.194,-0.405,0.113
365,2.0,2.21,2020-10-27,13647,1.366,2.606,3.29,-0.027,3.657
365,2.0,2.01,2023-11-09,36730,0.207,0.698,1.084,-0.031,0.99
365,2.0,2.14,2024-11-11,88729,0.088,0.181,0.162,-0.14,0.197
365,2.5,2.84,2015-11-03,405,-0.081,0.122,0.85,-0.228,0.157
365,2.5,2.89,2020-11-05,15596,1.412,2.418,2.915,-0.048,3.075
365,2.5,2.56,2023-12-05,44107,0.55,0.537,1.239,-0.103,0.657
365,2.5,2.55,2024-11-21,98402,-0.017,0.086,-0.135,-0.225,0.086
730,-1.0,-1.76,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
730,-1.0,-1.07,2022-09-06,18791,-0.097,0.194,0.371,-0.161,0.322
730,-1.0,-1.1,2025-11-14,94668,-0.3,-0.163,,-0.336,0.024
730,-1.5,-1.76,2020-03-12,4837,1.043,1.093,10.84,0.056,1.541
730,-1.5,-1.55,2022-11-08,18550,0.227,0.536,0.923,-0.15,0.644
730,-1.5,-1.59,2025-11-20,86587,-0.232,-0.113,,-0.274,0.119
730,-2.0,-2.03,2022-11-21,15774,0.539,0.72,1.27,0.027,0.933
730,-2.0,-2.03,2025-12-15,86460,-0.158,-0.259,,-0.296,0.121
730,-2.5,-2.55,2026-01-23,89521,-0.126,-0.261,,-0.345,-0.004
730,1.5,2.11,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
730,1.5,1.58,2016-06-03,571,0.003,0.318,3.562,-0.058,0.35
730,1.5,1.6,2020-11-05,15596,1.412,2.418,2.915,-0.048,3.075
730,1.5,1.54,2024-01-02,44975,0.55,0.394,1.1,-0.12,0.625
730,2.0,2.11,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
730,2.0,2.06,2016-06-12,674,-0.071,0.16,3.013,-0.202,0.187
730,2.0,2.05,2020-11-17,17669,1.713,1.635,2.419,-0.03,2.597
730,2.0,2.07,2024-02-12,49955,0.231,0.22,0.918,-0.004,0.463
730,2.5,2.51,2016-12-28,988,0.064,1.478,13.804,-0.211,2.012
730,2.5,2.61,2020-12-17,22820,1.584,0.761,1.024,-0.003,1.785
730,2.5,2.83,2024-02-28,62498,0.094,0.006,0.356,-0.136,0.17
1460,-1.0,-1.14,2026-02-05,62840,0.296,0.02,,-0.067,0.308
1460,1.5,2.04,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
1460,1.5,1.58,2024-11-11,88729,0.088,0.181,0.162,-0.14,0.197
1460,2.0,2.04,2014-01-02,794,-0.449,-0.192,-0.602,-0.541,0.166
1460,2.5,2.57,2017-05-23,2260,0.77,2.54,2.341,-0.146,2.54
