window,threshold,side,n,n_90d,median_90d,hit_90d,n_180d,median_180d,hit_180d,n_365d,median_365d,hit_365d,median_mdd180,worst_mdd180,median_mup180
365,-1.0,beli,6,6,-0.03722959407999238,0.5,6,-0.0036355164215862157,0.5,5,0.5076898551491815,0.6,-0.4340459800641712,-0.5295576948236644,0.3218066810443616
365,-1.5,beli,5,5,-0.2042664589245915,0.2,5,-0.2927072050451551,0.4,4,0.3065713219104719,0.5,-0.3860001960059364,-0.4646245677939468,0.29491866410450185
365,-2.0,beli,5,5,-0.12496686323347328,0.2,5,-0.08942341093776829,0.4,4,0.6944933266491864,0.75,-0.3613984663013665,-0.3799498656195156,0.09699902140851258
365,-2.5,beli,5,5,-0.01612665280226666,0.4,5,0.3631986407653265,0.6,4,0.8461396730352572,1.0,-0.21854417840167517,-0.3362068968499867,0.3631986407653265
365,1.5,jual,6,6,0.04872697395661829,0.6666666666666666,6,0.208353071874689,0.6666666666666666,6,0.5944427083862038,0.8333333333333334,-0.14479293425816686,-0.5413257924336986,0.3769598628487889
365,2.0,jual,5,5,0.0876134554562884,0.8,5,0.23576552708585563,0.8,5,1.0270589131623376,0.8,-0.14041434824538424,-0.4054377924190987,0.28681438170554774
365,2.5,jual,4,4,0.2660593670805219,0.5,4,0.3293207710847085,1.0,4,1.0442037999098233,0.75,-0.1639591365428406,-0.22784884563886287,0.4071424203891022
730,-1.0,beli,3,3,-0.09696264747895733,0.3333333333333333,3,0.19363535566443346,0.6666666666666666,2,5.605563252736293,1.0,-0.16052571031166096,-0.3362068968499867,0.32169011351964505
730,-1.5,beli,3,3,0.22708323612472658,0.6666666666666666,3,0.5363231505205124,0.6666666666666666,2,5.88115940975986,1.0,-0.1496148170855759,-0.274261786758922,0.6440057497295881
730,-2.0,beli,2,2,0.190624902240081,0.5,2,0.23073573304140066,0.5,1,1.2698500450596009,1.0,-0.13436642052545428,-0.2960769325831901,0.5271056397719927
730,-2.5,beli,1,1,-0.1255421368332188,0.0,1,-0.2614622708946738,0.0,0,,,-0.3451275175402805,-0.3451275175402805,-0.003662210553009748
730,1.5,jual,4,4,0.27626490485273336,0.75,4,0.35612555407287605,0.75,4,2.007658423680661,0.75,-0.08925441890878688,-0.5413257924336986,0.487413454953477
730,2.0,jual,4,4,0.08017049776605689,0.5,4,0.19015116322224546,0.75,4,1.6684458727230926,0.75,-0.11573844825995006,-0.5413257924336986,0.32496617003989403
730,2.5,jual,3,3,0.09361142139756118,1.0,3,0.7608770329671306,1.0,3,1.024192495966036,1.0,-0.13554823524211856,-0.21056208982860813,1.784914833042662
1460,-1.0,beli,1,1,0.29605484687338546,1.0,1,0.020159129408457988,1.0,0,,,-0.06707623813501573,-0.06707623813501573,0.30787403007432657
1460,-1.5,beli,0,0,,,0,,,0,,,,,
1460,-2.0,beli,0,0,,,0,,,0,,,,,
1460,-2.5,beli,0,0,,,0,,,0,,,,,
1460,1.5,jual,2,2,-0.1808217805828385,0.5,2,-0.005365344390765525,0.5,2,-0.21993289927525883,0.5,-0.3408700703395414,-0.5413257924336986,0.1813478228273585
1460,2.0,jual,1,1,-0.4492570166219654,0.0,1,-0.1916713054450534,0.0,1,-0.6016923021605878,0.0,-0.5413257924336986,-0.5413257924336986,0.1659257646293415
1460,2.5,jual,1,1,0.7696644026383133,1.0,1,2.539842214968526,1.0,1,2.340949174629785,1.0,-0.1460849134237382,-0.1460849134237382,2.539842214968526
