episode,pullback,trough_date,drop_pct,window_days,raw_below50,sma_below50,raw_cross_date,sma_cross_date,lag_days,fg_min,sma_min,gain14_raw,gain30_raw,gain14_sma,gain30_sma
EPISODE 1 (2019),1,2019-05-18,-11.126068158016622,2,False,False,,,,65,61.93333333333333,,,,
EPISODE 1 (2019),2,2019-05-22,-6.752181657114997,1,False,False,,,,69,63.166666666666664,,,,
EPISODE 1 (2019),3,2019-05-30,-5.932559174917307,1,False,False,,,,73,68.23333333333333,,,,
EPISODE 1 (2019),4,2019-06-09,-12.820408984178355,11,True,False,2019-06-04,,,27,61.666666666666664,17.419098059444195,45.41720128864897,,
EPISODE 1 (2019),5,2019-06-27,-12.811709323719855,1,False,False,,,,92,67.9,,,,
EPISODE 1 (2019),6,2019-07-01,-17.88297005993471,10,False,False,,,,63,67.63333333333334,,,,
EPISODE 2 (2023-2024),1,2023-03-10,-14.52766548570642,10,True,False,2023-03-05,,,33,50.8,25.03123129573177,25.653675634413876,,
EPISODE 2 (2023-2024),2,2023-04-21,-10.531707862756745,8,False,False,,,,50,60.733333333333334,,,,
EPISODE 2 (2023-2024),3,2023-05-01,-7.842037759468301,2,False,False,,,,55,60.8,,,,
EPISODE 2 (2023-2024),4,2023-05-04,-5.303616848821546,1,False,False,,,,64,60.9,,,,
EPISODE 2 (2023-2024),5,2023-06-14,-17.456336385887973,46,True,True,2023-05-12,2023-06-13,32.0,41,49.06666666666667,-0.35722041032150154,-3.2255632999713013,18.16299942437867,21.293383835587942
EPISODE 2 (2023-2024),6,2023-07-18,-5.072996561058208,1,False,False,,,,56,58.233333333333334,,,,
EPISODE 2 (2023-2024),7,2023-07-22,-5.327138025037204,3,False,False,,,,50,57.833333333333336,,,,
EPISODE 2 (2023-2024),8,2023-09-11,-20.019658081822232,89,True,True,2023-08-06,2023-08-21,15.0,30,40.43333333333333,-9.890002870338478,-11.271788400686189,-1.3246554047079084,3.6503556933809245
EPISODE 2 (2023-2024),9,2023-11-21,-5.5416581919322745,1,False,False,,,,71,68.1,,,,
EPISODE 2 (2023-2024),10,2023-12-11,-6.624217701046142,2,False,False,,,,67,70.0,,,,
EPISODE 2 (2023-2024),11,2023-12-15,-5.078738777581693,1,False,False,,,,70,70.2,,,,
EPISODE 2 (2023-2024),12,2023-12-17,-6.416184071834785,1,False,False,,,,73,70.43333333333334,,,,
EPISODE 2 (2023-2024),13,2024-01-22,-15.967676603186653,27,True,False,2024-01-24,,,48,59.63333333333333,10.549518881062792,26.557085297191605,,
