coin,network,address,balance,Height,Third party custodian name
BTC,BTC,bc1qhnkhmyx43k9uewvftqup259yp8h39wj2ewc50h,2499.99094,964957,Ceffu
BTC,BTC,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,13332.22028,964957,
BTC,BTC,3M3EtJGx5Dy9nCATLDhyRCrKGc38QC9z2e,3.265e-05,964957,
BTC,BTC,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,248597.5923,964957,
BTC,BTC,bc1qq393eyjh8hdjvcchy0mxquhh9wx8h3kzlkchfs,1958.062611,964957,Ceffu
BTC,BTC,3HkPQSi1xso1Zh1EeqLjkMpura63fr5HRn,215.6870838,964957,
BTC,BTC,bc1qdtmav38lca8yu3rrcknnqx5242cckgxqws7m72,949.3594929,964957,
BTC,BTC,3AQ8bAh88TQU7JV1H3ovXrwsuV6s3zYZuN,1.087e-05,964957,
BTC,BTC,bc1qquax5zzensg9mkejdgq3q3h76v34cug96zk0f6,763.0606057,964957,
BTC,BTC,bc1q78ufzeu8w8fwvxuphrdlg446xhyptf28fkatu5,0.0049376,964957,Ceffu
BTC,BTC,1DEuKerATHWRfyB14s6QCt4LPkfCTx4zaW,2537.710158,964957,
BTC,BTC,395vnFScKQ1ay695C6v7gf89UzoFpx3WuJ,1758.530405,964957,
BTC,BTC,3F1ZmTDAv6q3xrnT3tpm55DkCDzxhstU2Z,39.11899505,964957,
BTC,BTC,bc1q32lyrhp9zpww22phqjwwmelta0c8a5q990ghs6,4046.580755,964957,Ceffu
BTC,BTC,3AtnehKDkFPC1bKvdrEVPSRGCtxQH8F1R8,5.46e-06,964957,
BTC,BTC,378GLcve92X2Q4UrCyoMFDL5k5QrzeG7JN,1.093e-05,964957,
BTC,BTC,3QK5vQ9hucSg8ZC8Vizq83qEWeHFLAWMud,1.093e-05,964957,
BTC,BTC,3NjHh71XgjikBoTNYdWgXiNeZcLaKNThgb,6e-06,964957,
BTC,BTC,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,31275.35267,964957,
BTC,BTC,32bhzEniykYRFADVaRM5PYswsjC23cxtes,2.767e-05,964957,
BTC,BTC,34ryUknRsda7w9yXqzjLhgRPZLPV43rpsd,5564.886064,964957,
BTC,BTC,32BgTv3NSYbMsBTwDbNNN2GKZPCTJSkqDv,7e-06,964957,
BTC,BTC,31jUs8yQNVc9p6YuUPctWCkdhH7u8UiUba,707.1119885,964957,
BTC,BTC,bc1q5n5dy7jgqhmpnmx44d3780qefzaphjreds0z9y,164.5862727,964957,
BTC,BTC,bc1q9n7j6a5wwru6tad9xrlncnagresvyjt96pl3en,1200.019572,964957,
