,USDT,USDC,DAI,BUSD,TUSD,USDP,GUSD,HUSD,SUSD
2017-01-01,9951589.72,,,,,,,,
2017-01-02,9951589.72,,,,,,,,
2017-01-03,9951589.72,,,,,,,,
2017-01-04,9951589.72,,,,,,,,
2017-01-05,14951589.72,,,,,,,,
2017-01-06,14951590.83,,,,,,,,
2017-01-07,14951590.83,,,,,,,,
2017-01-08,14951590.83,,,,,,,,
2017-01-09,14951590.83,,,,,,,,
2017-01-10,14951570.83,,,,,,,,
2017-01-11,14951570.83,,,,,,,,
2017-01-12,14951570.83,,,,,,,,
2017-01-13,14951570.83,,,,,,,,
2017-01-14,14951570.83,,,,,,,,
2017-01-15,14951570.83,,,,,,,,
2017-01-16,14951570.83,,,,,,,,
2017-01-17,14951570.83,,,,,,,,
2017-01-18,14951570.83,,,,,,,,
2017-01-19,14951570.83,,,,,,,,
2017-01-20,14951570.83,,,,,,,,
2017-01-21,14951590.83,,,,,,,,
2017-01-22,14951590.83,,,,,,,,
2017-01-23,14951590.83,,,,,,,,
2017-01-24,14951590.83,,,,,,,,
2017-01-25,14951590.83,,,,,,,,
2017-01-26,14951590.83,,,,,,,,
2017-01-27,14951590.83,,,,,,,,
2017-01-28,14951590.83,,,,,,,,
2017-01-29,14951590.83,,,,,,,,
2017-01-30,14951590.83,,,,,,,,
2017-01-31,24951590.83,,,,,,,,
2017-02-01,24951590.83,,,,,,,,
2017-02-02,24951590.83,,,,,,,,
2017-02-03,24951590.83,,,,,,,,
2017-02-04,24951590.83,,,,,,,,
2017-02-05,24951590.83,,,,,,,,
2017-02-06,24951590.83,,,,,,,,
2017-02-07,24951021.66,,,,,,,,
2017-02-08,24950996.0,,,,,,,,
2017-02-09,24950996.0,,,,,,,,
2017-02-10,24950996.0,,,,,,,,
2017-02-11,24950996.0,,,,,,,,
2017-02-12,24950996.0,,,,,,,,
2017-02-13,24950996.0,,,,,,,,
2017-02-14,24950996.0,,,,,,,,
2017-02-15,24950996.0,,,,,,,,
2017-02-16,24950996.0,,,,,,,,
2017-02-17,24950996.0,,,,,,,,
2017-02-18,24950996.0,,,,,,,,
2017-02-19,24950996.0,,,,,,,,
2017-02-20,24950996.0,,,,,,,,
2017-02-21,24950996.0,,,,,,,,
2017-02-22,24950996.0,,,,,,,,
2017-02-23,24950996.0,,,,,,,,
2017-02-24,24950996.0,,,,,,,,
2017-02-25,24950996.0,,,,,,,,
2017-02-26,24950986.05,,,,,,,,
2017-02-27,24950994.44,,,,,,,,
2017-02-28,24950994.44,,,,,,,,
2017-03-01,24950994.44,,,,,,,,
2017-03-02,24950994.44,,,,,,,,
2017-03-03,24950994.44,,,,,,,,
2017-03-04,24950994.44,,,,,,,,
2017-03-05,24950994.44,,,,,,,,
2017-03-06,24950377.54,,,,,,,,
2017-03-07,34950377.54,,,,,,,,
2017-03-08,34950377.54,,,,,,,,
2017-03-09,34950377.54,,,,,,,,
2017-03-10,34950377.54,,,,,,,,
2017-03-11,34950377.54,,,,,,,,
2017-03-12,34950377.54,,,,,,,,
2017-03-13,34950377.54,,,,,,,,
2017-03-14,34950362.56,,,,,,,,
2017-03-15,34950362.56,,,,,,,,
2017-03-16,34950362.56,,,,,,,,
2017-03-17,44950862.56,,,,,,,,
2017-03-18,44950862.56,,,,,,,,
2017-03-19,44950862.56,,,,,,,,
2017-03-20,44950862.56,,,,,,,,
2017-03-21,44950862.56,,,,,,,,
2017-03-22,44950862.56,,,,,,,,
2017-03-23,44950862.56,,,,,,,,
2017-03-24,44950862.56,,,,,,,,
2017-03-25,44950862.56,,,,,,,,
2017-03-26,44950852.56,,,,,,,,
2017-03-27,44950852.56,,,,,,,,
2017-03-28,44950852.56,,,,,,,,
2017-03-29,54950852.56,,,,,,,,
2017-03-30,54950852.56,,,,,,,,
2017-03-31,54950855.56,,,,,,,,
2017-04-01,54950867.54,,,,,,,,
2017-04-02,54950867.54,,,,,,,,
2017-04-03,54950867.54,,,,,,,,
2017-04-04,54950867.54,,,,,,,,
2017-04-05,54950867.54,,,,,,,,
2017-04-06,54950867.54,,,,,,,,
2017-04-07,54950867.54,,,,,,,,
2017-04-08,54950867.54,,,,,,,,
2017-04-09,54950867.54,,,,,,,,
2017-04-10,54950867.54,,,,,,,,
2017-04-11,54950871.34,,,,,,,,
2017-04-12,50743773.34,,,,,,,,
2017-04-13,50743773.34,,,,,,,,
2017-04-14,50743773.34,,,,,,,,
2017-04-15,50743773.34,,,,,,,,
2017-04-16,50743773.34,,,,,,,,
2017-04-17,50743773.34,,,,,,,,
2017-04-18,60743773.34,,,,,,,,
2017-04-19,54824773.36,,,,,,,,
2017-04-20,54783280.11,,,,,,,,
2017-04-21,54742221.81,,,,,,,,
2017-04-22,54732214.51,,,,,,,,
2017-04-23,54730044.63,,,,,,,,
2017-04-24,54724426.62,,,,,,,,
2017-04-25,64753590.39,,,,,,,,
2017-04-26,62187457.39,,,,,,,,
2017-04-27,62152583.08,,,,,,,,
2017-04-28,62131987.84,,,,,,,,
2017-04-29,63013640.9,,,,,,,,
2017-04-30,63012950.9,,,,,,,,
2017-05-01,63019199.32,,,,,,,,
2017-05-02,63061259.33,,,,,,,,
2017-05-03,61437483.8,,,,,,,,
2017-05-04,62403251.73,,,,,,,,
2017-05-05,62403251.73,,,,,,,,
2017-05-06,62403251.73,,,,,,,,
2017-05-07,62403251.73,,,,,,,,
2017-05-08,62403868.63,,,,,,,,
2017-05-09,62399948.63,,,,,,,,
2017-05-10,62396153.63,,,,,,,,
2017-05-11,62396158.05,,,,,,,,
2017-05-12,62396158.05,,,,,,,,
2017-05-13,62396158.05,,,,,,,,
2017-05-14,62396158.05,,,,,,,,
2017-05-15,62393612.52,,,,,,,,
2017-05-16,62396257.93,,,,,,,,
2017-05-17,62396252.93,,,,,,,,
2017-05-18,62396252.93,,,,,,,,
2017-05-19,62394263.93,,,,,,,,
2017-05-20,62393243.93,,,,,,,,
2017-05-21,62394263.93,,,,,,,,
2017-05-22,62394331.93,,,,,,,,
2017-05-23,64394321.93,,,,,,,,
2017-05-24,68394321.93,,,,,,,,
2017-05-25,68394321.93,,,,,,,,
2017-05-26,94993689.8,,,,,,,,
2017-05-27,104993689.8,,,,,,,,
2017-05-28,104993689.8,,,,,,,,
2017-05-29,104993689.8,,,,,,,,
2017-05-30,104993689.8,,,,,,,,
2017-05-31,104993689.8,,,,,,,,
2017-06-01,104993689.8,,,,,,,,
2017-06-02,104993689.8,,,,,,,,
2017-06-03,104993689.8,,,,,,,,
2017-06-04,104993689.8,,,,,,,,
2017-06-05,104993689.8,,,,,,,,
2017-06-06,104993689.8,,,,,,,,
2017-06-07,104993689.8,,,,,,,,
2017-06-08,127493815.43,,,,,,,,
2017-06-09,127493815.43,,,,,,,,
2017-06-10,127493815.43,,,,,,,,
2017-06-11,127493815.43,,,,,,,,
2017-06-12,127493815.43,,,,,,,,
2017-06-13,127493815.43,,,,,,,,
2017-06-14,127493815.43,,,,,,,,
2017-06-15,127493815.43,,,,,,,,
2017-06-16,127493815.43,,,,,,,,
2017-06-17,127493815.43,,,,,,,,
2017-06-18,127493815.43,,,,,,,,
2017-06-19,127493815.43,,,,,,,,
2017-06-20,144693825.0,,,,,,,,
2017-06-21,144693825.0,,,,,,,,
2017-06-22,144693825.0,,,,,,,,
2017-06-23,144693825.0,,,,,,,,
2017-06-24,144693825.0,,,,,,,,
2017-06-25,144693825.0,,,,,,,,
2017-06-26,144693825.0,,,,,,,,
2017-06-27,144693825.0,,,,,,,,
2017-06-28,144693825.0,,,,,,,,
2017-06-29,214980591.31,,,,,,,,
2017-06-30,214980591.31,,,,,,,,
2017-07-01,214980591.31,,,,,,,,
2017-07-02,219980591.31,,,,,,,,
2017-07-03,219980581.3,,,,,,,,
2017-07-04,219980581.3,,,,,,,,
2017-07-05,219980581.3,,,,,,,,
2017-07-06,219981353.08,,,,,,,,
2017-07-07,219981353.08,,,,,,,,
2017-07-08,219981353.08,,,,,,,,
