time,usdt,usdt_eth,usdt_omni,usdt_trx,usdc,dai,busd,tusd,pax
2014-10-06,100.0,,100.0,,,,,,
2014-10-07,100.0,,100.0,,,,,,
2014-10-08,100.0,,100.0,,,,,,
2014-10-09,100.0,,100.0,,,,,,
2014-10-10,100.0,,100.0,,,,,,
2014-10-11,100.0,,100.0,,,,,,
2014-10-12,100.0,,100.0,,,,,,
2014-10-13,100.0,,100.0,,,,,,
2014-10-14,100.0,,100.0,,,,,,
2014-10-15,100.0,,100.0,,,,,,
2014-10-16,100.0,,100.0,,,,,,
2014-10-17,100.0,,100.0,,,,,,
2014-10-18,100.0,,100.0,,,,,,
2014-10-19,100.0,,100.0,,,,,,
2014-10-20,100.0,,100.0,,,,,,
2014-10-21,100.0,,100.0,,,,,,
2014-10-22,100.0,,100.0,,,,,,
2014-10-23,100.0,,100.0,,,,,,
2014-10-24,100.0,,100.0,,,,,,
2014-10-25,100.0,,100.0,,,,,,
2014-10-26,100.0,,100.0,,,,,,
2014-10-27,100.0,,100.0,,,,,,
2014-10-28,100.0,,100.0,,,,,,
2014-10-29,100.0,,100.0,,,,,,
2014-10-30,100.0,,100.0,,,,,,
2014-10-31,100.0,,100.0,,,,,,
2014-11-01,100.0,,100.0,,,,,,
2014-11-02,100.0,,100.0,,,,,,
2014-11-03,100.0,,100.0,,,,,,
2014-11-04,100.0,,100.0,,,,,,
2014-11-05,100.0,,100.0,,,,,,
2014-11-06,100.0,,100.0,,,,,,
2014-11-07,100.0,,100.0,,,,,,
2014-11-08,100.0,,100.0,,,,,,
2014-11-09,100.0,,100.0,,,,,,
2014-11-10,100.0,,100.0,,,,,,
2014-11-11,100.0,,100.0,,,,,,
2014-11-12,100.0,,100.0,,,,,,
2014-11-13,100.0,,100.0,,,,,,
2014-11-14,100.0,,100.0,,,,,,
2014-11-15,100.0,,100.0,,,,,,
2014-11-16,100.0,,100.0,,,,,,
2014-11-17,100.0,,100.0,,,,,,
2014-11-18,100.0,,100.0,,,,,,
2014-11-19,100.0,,100.0,,,,,,
2014-11-20,100.0,,100.0,,,,,,
2014-11-21,100.0,,100.0,,,,,,
2014-11-22,100.0,,100.0,,,,,,
2014-11-23,100.0,,100.0,,,,,,
2014-11-24,100.0,,100.0,,,,,,
2014-11-25,100.0,,100.0,,,,,,
2014-11-26,100.0,,100.0,,,,,,
2014-11-27,100.0,,100.0,,,,,,
2014-11-28,100.0,,100.0,,,,,,
2014-11-29,100.0,,100.0,,,,,,
2014-11-30,100.0,,100.0,,,,,,
2014-12-01,100.0,,100.0,,,,,,
2014-12-02,100.0,,100.0,,,,,,
2014-12-03,100.0,,100.0,,,,,,
2014-12-04,100.0,,100.0,,,,,,
2014-12-05,100.0,,100.0,,,,,,
2014-12-06,100.0,,100.0,,,,,,
2014-12-07,100.0,,100.0,,,,,,
2014-12-08,100.0,,100.0,,,,,,
2014-12-09,100.0,,100.0,,,,,,
2014-12-10,100.0,,100.0,,,,,,
2014-12-11,100.0,,100.0,,,,,,
2014-12-12,100.0,,100.0,,,,,,
2014-12-13,100.0,,100.0,,,,,,
2014-12-14,100.0,,100.0,,,,,,
2014-12-15,100.0,,100.0,,,,,,
2014-12-16,100.0,,100.0,,,,,,
2014-12-17,100.0,,100.0,,,,,,
2014-12-18,100.0,,100.0,,,,,,
2014-12-19,100.0,,100.0,,,,,,
2014-12-20,100.0,,100.0,,,,,,
2014-12-21,100.0,,100.0,,,,,,
2014-12-22,100.0,,100.0,,,,,,
2014-12-23,100.0,,100.0,,,,,,
2014-12-24,100.0,,100.0,,,,,,
2014-12-25,100.0,,100.0,,,,,,
2014-12-26,100.0,,100.0,,,,,,
2014-12-27,100.0,,100.0,,,,,,
2014-12-28,100.0,,100.0,,,,,,
2014-12-29,100.0,,100.0,,,,,,
2014-12-30,100.0,,100.0,,,,,,
2014-12-31,100.0,,100.0,,,,,,
2015-01-01,100.0,,100.0,,,,,,
2015-01-02,100.0,,100.0,,,,,,
2015-01-03,100.0,,100.0,,,,,,
2015-01-04,100.0,,100.0,,,,,,
2015-01-05,100.0,,100.0,,,,,,
2015-01-06,100.0,,100.0,,,,,,
2015-01-07,1600.0,,1600.0,,,,,,
2015-01-08,1600.0,,1600.0,,,,,,
2015-01-09,251600.0,,251600.0,,,,,,
2015-01-10,251600.0,,251600.0,,,,,,
2015-01-11,251600.0,,251600.0,,,,,,
2015-01-12,251600.0,,251600.0,,,,,,
2015-01-13,251600.0,,251600.0,,,,,,
2015-01-14,251600.0,,251600.0,,,,,,
2015-01-15,251600.0,,251600.0,,,,,,
2015-01-16,251600.0,,251600.0,,,,,,
2015-01-17,251600.0,,251600.0,,,,,,
2015-01-18,251600.0,,251600.0,,,,,,
2015-01-19,251600.0,,251600.0,,,,,,
2015-01-20,251600.0,,251600.0,,,,,,
2015-01-21,251600.0,,251600.0,,,,,,
2015-01-22,251600.0,,251600.0,,,,,,
2015-01-23,251600.0,,251600.0,,,,,,
2015-01-24,251600.0,,251600.0,,,,,,
2015-01-25,251600.0,,251600.0,,,,,,
2015-01-26,251600.0,,251600.0,,,,,,
2015-01-27,251600.0,,251600.0,,,,,,
2015-01-28,251600.0,,251600.0,,,,,,
2015-01-29,251600.0,,251600.0,,,,,,
2015-01-30,251600.0,,251600.0,,,,,,
2015-01-31,251600.0,,251600.0,,,,,,
2015-02-01,251600.0,,251600.0,,,,,,
2015-02-02,251600.0,,251600.0,,,,,,
2015-02-03,251600.0,,251600.0,,,,,,
2015-02-04,251600.0,,251600.0,,,,,,
2015-02-05,251600.0,,251600.0,,,,,,
2015-02-06,251600.0,,251600.0,,,,,,
2015-02-07,251600.0,,251600.0,,,,,,
2015-02-08,251600.0,,251600.0,,,,,,
2015-02-09,251600.0,,251600.0,,,,,,
2015-02-10,251600.0,,251600.0,,,,,,
2015-02-11,251600.0,,251600.0,,,,,,
2015-02-12,251600.0,,251600.0,,,,,,
2015-02-13,251600.0,,251600.0,,,,,,
2015-02-14,251600.0,,251600.0,,,,,,
2015-02-15,251600.0,,251600.0,,,,,,
2015-02-16,251600.0,,251600.0,,,,,,
2015-02-17,251600.0,,251600.0,,,,,,
2015-02-18,251600.0,,251600.0,,,,,,
2015-02-19,251600.0,,251600.0,,,,,,
2015-02-20,251600.0,,251600.0,,,,,,
2015-02-21,251600.0,,251600.0,,,,,,
2015-02-22,251600.0,,251600.0,,,,,,
2015-02-23,251600.0,,251600.0,,,,,,
2015-02-24,251600.0,,251600.0,,,,,,
2015-02-25,251600.0,,251600.0,,,,,,
2015-02-26,251600.0,,251600.0,,,,,,
2015-02-27,251600.0,,251600.0,,,,,,
2015-02-28,251600.0,,251600.0,,,,,,
2015-03-01,251600.0,,251600.0,,,,,,
2015-03-02,251600.0,,251600.0,,,,,,
2015-03-03,251600.0,,251600.0,,,,,,
2015-03-04,251600.0,,251600.0,,,,,,
2015-03-05,251600.0,,251600.0,,,,,,
2015-03-06,251600.0,,251600.0,,,,,,
2015-03-07,251600.0,,251600.0,,,,,,
2015-03-08,251600.0,,251600.0,,,,,,
2015-03-09,251600.0,,251600.0,,,,,,
2015-03-10,251600.0,,251600.0,,,,,,
2015-03-11,251600.0,,251600.0,,,,,,
2015-03-12,251600.0,,251600.0,,,,,,
2015-03-13,251600.0,,251600.0,,,,,,
2015-03-14,251600.0,,251600.0,,,,,,
2015-03-15,251600.0,,251600.0,,,,,,
2015-03-16,251600.0,,251600.0,,,,,,
2015-03-17,251600.0,,251600.0,,,,,,
2015-03-18,251600.0,,251600.0,,,,,,
2015-03-19,251600.0,,251600.0,,,,,,
2015-03-20,251600.0,,251600.0,,,,,,
2015-03-21,251600.0,,251600.0,,,,,,
2015-03-22,251600.0,,251600.0,,,,,,
2015-03-23,251600.0,,251600.0,,,,,,
2015-03-24,251600.0,,251600.0,,,,,,
2015-03-25,251600.0,,251600.0,,,,,,
2015-03-26,251600.0,,251600.0,,,,,,
2015-03-27,251600.0,,251600.0,,,,,,
2015-03-28,251600.0,,251600.0,,,,,,
2015-03-29,251600.0,,251600.0,,,,,,
2015-03-30,251600.0,,251600.0,,,,,,
2015-03-31,251600.0,,251600.0,,,,,,
2015-04-01,251600.0,,251600.0,,,,,,
2015-04-02,251600.0,,251600.0,,,,,,
2015-04-03,251600.0,,251600.0,,,,,,
2015-04-04,251600.0,,251600.0,,,,,,
2015-04-05,251600.0,,251600.0,,,,,,
2015-04-06,251600.0,,251600.0,,,,,,
2015-04-07,251600.0,,251600.0,,,,,,
2015-04-08,251600.0,,251600.0,,,,,,
2015-04-09,251600.0,,251600.0,,,,,,
2015-04-10,251600.0,,251600.0,,,,,,
2015-04-11,251600.0,,251600.0,,,,,,
2015-04-12,251600.0,,251600.0,,,,,,
2015-04-13,251600.0,,251600.0,,,,,,
2015-04-14,251600.0,,251600.0,,,,,,
2015-04-15,251600.0,,251600.0,,,,,,
2015-04-16,251600.0,,251600.0,,,,,,
2015-04-17,251600.0,,251600.0,,,,,,
2015-04-18,251600.0,,251600.0,,,,,,
2015-04-19,251600.0,,251600.0,,,,,,
2015-04-20,251600.0,,251600.0,,,,,,
2015-04-21,251600.0,,251600.0,,,,,,
2015-04-22,251600.0,,251600.0,,,,,,
2015-04-23,251600.0,,251600.0,,,,,,
2015-04-24,251600.0,,251600.0,,,,,,
2015-04-25,251600.0,,251600.0,,,,,,
2015-04-26,251600.0,,251600.0,,,,,,
2015-04-27,251600.0,,251600.0,,,,,,
2015-04-28,251600.0,,251600.0,,,,,,
2015-04-29,251600.0,,251600.0,,,,,,
2015-04-30,251600.0,,251600.0,,,,,,
2015-05-01,251600.0,,251600.0,,,,,,
2015-05-02,251600.0,,251600.0,,,,,,
2015-05-03,251600.0,,251600.0,,,,,,
2015-05-04,251600.0,,251600.0,,,,,,
2015-05-05,251600.0,,251600.0,,,,,,
2015-05-06,251600.0,,251600.0,,,,,,
2015-05-07,251600.0,,251600.0,,,,,,
2015-05-08,251600.0,,251600.0,,,,,,
2015-05-09,251600.0,,251600.0,,,,,,
2015-05-10,251600.0,,251600.0,,,,,,
2015-05-11,251600.0,,251600.0,,,,,,
2015-05-12,251600.0,,251600.0,,,,,,
2015-05-13,251600.0,,251600.0,,,,,,
2015-05-14,251600.0,,251600.0,,,,,,
2015-05-15,251600.0,,251600.0,,,,,,
2015-05-16,251600.0,,251600.0,,,,,,
2015-05-17,251600.0,,251600.0,,,,,,
2015-05-18,451600.0,,451600.0,,,,,,
