,usdt_onchain,usdt_cmc,kas_tether,usdt_coinmetrics_mentah,cmc_vs_onchain_pct,coinmetrics_kebesaran_pct
2017-12-31,1399149801.52,1368089836.52,960168.48,1400109970.0,-2.22,0.07
2018-01-31,2279149816.52,2217140813.52,960153.48,2280109970.0,-2.72,0.04
2018-02-28,2279149816.52,2217140813.52,960153.48,2280109970.0,-2.72,0.04
2018-03-31,2349149816.52,2287140813.52,230960153.48,2580109970.0,-2.64,9.83
2018-04-30,2479149816.52,2417140813.52,100960153.48,2580109970.0,-2.5,4.07
2018-05-31,2569149816.52,2507140813.52,260960153.48,2830109970.0,-2.41,10.16
2018-06-30,2769149348.62,2707140345.62,310960153.48,3080109502.1,-2.24,11.23
2018-07-31,2479149348.62,2462140345.62,600960153.48,3080109502.1,-0.69,24.24
2018-08-31,2804149338.62,2742140335.62,275960163.48,3080109502.1,-2.21,9.84
2018-09-30,2868430738.62,2806421735.62,211678763.48,3080109502.1,-2.16,7.38
2018-10-31,1838430738.62,1776421735.62,741678763.48,2580109502.1,-3.37,40.34
2018-11-30,1918430738.62,1856421735.62,661678763.48,2580109502.1,-3.23,34.49
2018-12-31,1920703258.56,1858694255.56,659358984.81,2580062243.36,-3.23,34.33
2019-01-31,2082864919.56,2020855916.56,497192573.81,2580057493.36,-2.98,23.87
2019-02-28,2083468019.56,2021459016.56,496589473.81,2580057493.36,-2.98,23.83
2019-03-31,2090861792.56,2028852789.56,489195700.81,2580057493.36,-2.97,23.4
2019-04-30,2897076437.46,2834358182.0,460883066.51,3357959503.96,-2.16,15.91
2019-05-31,3193266127.63,3130547872.17,314693376.34,3507959503.96,-1.96,9.85
2019-06-30,3663096596.32,3600378340.86,194862907.65,3857959503.96,-1.71,5.32
2019-07-31,4088867428.0,4026461172.54,288592075.97,4377459503.96,-1.53,7.06
2019-08-31,4070275983.19,4007869727.73,137183520.77,4207459503.96,-1.53,3.37
2019-09-30,4206537215.92,4108044456.1,30857837.46,4237395053.38,-2.34,0.73
2019-10-31,4467849146.61,4108044456.1,163197506.77,4631046653.38,-8.05,3.65
2019-11-30,4558242913.03,4108044456.1,117017478.68,4675260391.71,-9.88,2.57
2019-12-31,4738411318.28,4108044456.1,31849073.43,4770260391.71,-13.3,0.67
2020-01-31,4592919209.01,4642367414.0,177181912.15,4770101121.17,1.08,3.86
2020-02-29,4802222012.86,4642367414.0,69455559.88,4871677572.74,-3.33,1.45
2020-03-31,6138669517.76,6166094189.58,416845756.95,6555515274.71,0.45,6.79
2020-04-30,7789550266.15,6361032509.0,306956475.52,8096506741.67,-18.34,3.94
2020-05-31,9109743252.33,8798069379.47,346622178.71,9456365431.04,-3.42,3.8
2020-06-30,9634713059.99,9187991662.61,621529510.81,10256242570.8,-4.64,6.45
2020-07-31,10926497466.08,9998221723.19,259376725.58,11185874191.66,-8.5,2.37
2020-08-31,13426979802.61,13325642918.47,278744079.21,13705723881.83,-0.75,2.08
2020-09-30,15429790068.26,15501380493.82,342859592.43,15772649660.69,0.46,2.22
2020-10-31,16583077805.69,16654304931.5,533986700.66,17117064506.35,0.43,3.22
2020-11-30,19201872286.56,19127387104.76,328736295.06,19530608581.62,-0.39,1.71
2020-12-31,21004134466.83,20926936250.39,376274074.69,21380408541.52,-0.37,1.79
2021-01-31,26581172897.24,26430641890.11,574199862.49,27155372759.74,-0.57,2.16
2021-02-28,32220229009.1,32089698001.96,1235056687.8,33455285696.9,-0.41,3.83
